ve_ref,value,tags
1.1.t1,μῆνιν,Acc1.
1.1.t2,ἄειδε,Pres6.;Impr1.;Act1.
1.1.t3,θεὰ,Voc1.
1.1.t4,Πηληϊάδεω,Agr.
1.1.t5,Ἀχιλῆος,Gen7.
1.2.t1,οὐλομένην,Agr.
1.2.t2,ἣ,Nom1.
1.2.t3,μυρί',Agr.
1.2.t4,Ἀχαιοῖς,Dat1.
1.2.t5,ἄλγε',Acc1.
1.2.t6,ἔθηκε,Aor2.
1.3.t1,πολλὰς,Agr.
1.3.t2,δ',
1.3.t3,ἰφθίμους,Agr.
1.3.t4,ψυχὰς,Acc1.
1.3.t5,Ἄϊδι,Dat1.
1.3.t6,προΐαψεν,Aor2.
1.4.t1,ἡρώων,Gen1.
1.4.t2,αὐτοὺς,Acc1.
1.4.t3,δὲ,
1.4.t4,ἑλώρια,Acc10.
1.4.t5,τεῦχε,Impf1.;Ind1.;Act1.
1.4.t6,κύνεσσιν,Dat1.
1.5.t1,οἰωνοῖσί,Dat1.
1.5.t2,τε,
1.5.t3,πᾶσι,Agr.
1.5.t4,Διὸς,Gen1.
1.5.t5,δ',
1.5.t6,ἐτελείετο,Impf1.;Ind1.;Mid7.
1.5.t7,βουλή,Nom1.
1.6.t1,ἐξ,
1.6.t2,οὗ,GBP.
1.6.t3,δὴ,
1.6.t4,τὰ,
1.6.t5,πρῶτα,Acc8.
1.6.t6,διαστήτην,Aor1.
1.6.t7,ἐρίσαντε,Aor12.;Partic2.;Agr.
1.7.t1,Ἀτρεΐδης,Nom1.
1.7.t2,τε,
1.7.t3,ἄναξ,Agr.
1.7.t4,ἀνδρῶν,Gen8.
1.7.t5,καὶ,
1.7.t6,δῖος,Agr.
1.7.t7,Ἀχιλλεύς,Nom1.
1.8.t1,τίς,
1.8.t2,τ',
1.8.t3,ἄρ,
1.8.t4,σφωε,Acc1.
1.8.t5,θεῶν,Gen2.
1.8.t6,ἔριδι,Dat6.
1.8.t7,ξυνέηκε,Aor2.;Ind1.;Act1.
1.8.t8,μάχεσθαι,Pres6.;Inf4.;Mid6.
1.9.t1,Λητοῦς,Gen1.
1.9.t2,καὶ,
1.9.t3,Διὸς,Gen1.
1.9.t4,υἱός,Nom3.
1.9.t5,ὃ,Nom1.
1.9.t6,γὰρ,
1.9.t7,βασιλῆϊ,Dat9.
1.9.t8,χολωθεὶς,Agr.
1.10.t1,νοῦσον,Acc1.
1.10.t2,ἀνὰ,Prep4.
1.10.t3,στρατὸν,GBP.
1.10.t4,ὄρσε,Aor2.;Ind1.;Act1.
1.10.t5,κακήν,Agr.
1.10.t6,ὀλέκοντο,Impf1.;Ind1.;Pass1.
1.10.t7,δὲ,
1.10.t8,λαοί,Nom1.
1.11.t1,οὕνεκα,
1.11.t2,τὸν,Agr.
1.11.t3,Χρύσην,Acc1.
1.11.t4,ἠτίμασεν,Aor2.;Ind7.;Act1.
1.11.t5,ἀρητῆρα,Agr.
1.12.t1,Ἀτρεΐδης,Nom1.
1.12.t2,ὃ,Nom1.
1.12.t3,γὰρ,
1.12.t4,ἦλθε,Aor2.
1.12.t5,θοὰς,Agr.
1.12.t6,ἐπὶ,Prep3.
1.12.t7,νῆας,GBP.
1.12.t8,Ἀχαιῶν,Gen1.
1.13.t1,λυσόμενός,Fut6.;Partic5.;Mid1.;Agr.
1.13.t2,τε,
1.13.t3,θύγατρα,Acc1.
1.13.t4,φέρων,Pres6.;Partic2.;Act1.;Agr.
1.13.t5,τ',
1.13.t6,ἀπερείσι',Agr.
1.13.t7,ἄποινα,Acc1.
1.14.t1,στέμματ',Acc1.
1.14.t2,ἔχων,Pres6.;Partic2.;Act1.;Agr.
1.14.t3,ἐν,Prep3.
1.14.t4,χερσὶν,GBP.
1.14.t5,ἑκηβόλου,Agr.
1.14.t6,Ἀπόλλωνος,Gen1.
1.15.t1,χρυσέῳ,Agr.
1.15.t2,ἀνὰ,Prep3.
1.15.t3,σκήπτρῳ,GBP.
1.15.t4,καὶ,
1.15.t5,λίσσετο,Impf1.;Ind1.;Mid3.
1.15.t6,πάντας,Agr.
1.15.t7,Ἀχαιούς,Acc1.
1.16.t1,Ἀτρεΐδα,Agr.
1.16.t2,δὲ,
1.16.t3,μάλιστα,
1.16.t4,δύω,
1.16.t5,κοσμήτορε,Acc1.
1.16.t6,λαῶν,Gen8.
1.17.t1,Ἀτρεΐδαι,Voc1.
1.17.t2,τε,
1.17.t3,καὶ,
1.17.t4,ἄλλοι,Agr.
1.17.t5,ἐϋκνήμιδες,Agr.
1.17.t6,Ἀχαιοί,Voc1.
1.18.t1,ὑμῖν,Dat1.
1.18.t2,μὲν,
1.18.t3,θεοὶ,Nom1.
1.18.t4,δοῖεν,Aor12.;Opt1.;Act1.
1.18.t5,Ὀλύμπια,Agr.
1.18.t6,δώματ',Acc1.
1.18.t7,ἔχοντες,Pres6.;Partic1.;Act1.;Agr.
1.19.t1,ἐκπέρσαι,Aor12.;Inf2.;Act1.
1.19.t2,Πριάμοιο,Gen1.
1.19.t3,πόλιν,Acc1.
1.19.t4,εὖ,
1.19.t5,δ',
1.19.t6,οἴκαδ',
1.19.t7,ἱκέσθαι,Aor12.;Inf2.;Mid4.
1.20.t1,παῖδα,Acc1.
1.20.t2,δ',
1.20.t3,ἐμοὶ,Dat2.
1.20.t4,λύσαιτε,Aor12.;Opt2.;Act1.
1.20.t5,φίλην,Agr.
1.20.t6,τὰ,Agr.
1.20.t7,δ',
1.20.t8,ἄποινα,Acc1.
1.20.t9,δέχεσθαι,Pres6.;Inf6.;Mid1.
1.21.t1,ἁζόμενοι,Pres6.;Partic5.;Mid5.;Agr.
1.21.t2,Διὸς,Gen1.
1.21.t3,υἱὸν,Agr.
1.21.t4,ἑκηβόλον,Agr.
1.21.t5,Ἀπόλλωνα,Acc1.
1.22.t1,ἔνθ',
1.22.t2,ἄλλοι,Agr.
1.22.t3,μὲν,
1.22.t4,πάντες,Agr.
1.22.t5,ἐπευφήμησαν,Aor2.;Ind1.;Act1.
1.22.t6,Ἀχαιοὶ,Nom1.
1.23.t1,αἰδεῖσθαί,Pres6.;Inf2.;Mid5.
1.23.t2,θ',
1.23.t3,ἱερῆα,Acc1.
1.23.t4,καὶ,
1.23.t5,ἀγλαὰ,Agr.
1.23.t6,δέχθαι,Aor12.;Inf2.;Mid1.
1.23.t7,ἄποινα,Acc1.
1.24.t1,ἀλλ',
1.24.t2,οὐκ,
1.24.t3,Ἀτρεΐδῃ,Agr.
1.24.t4,Ἀγαμέμνονι,Dat1.
1.24.t5,ἥνδανε,Impf4.;Ind1.;Act1.
1.24.t6,θυμῷ,Dat12.
1.25.t1,ἀλλὰ,
1.25.t2,κακῶς,
1.25.t3,ἀφίει,Impf6.;Ind1.;Act1.
1.25.t4,κρατερὸν,Agr.
1.25.t5,δ',
1.25.t6,ἐπὶ,
1.25.t7,μῦθον,Acc1.
1.25.t8,ἔτελλε,Impf1.;Ind1.;Act1.
1.26.t1,μή,
1.26.t2,σε,Acc7.
1.26.t3,γέρον,Voc1.
1.26.t4,κοίλῃσιν,Agr.
1.26.t5,ἐγὼ,Nom1.
1.26.t6,παρὰ,Prep3.
1.26.t7,νηυσὶ,GBP.
1.26.t8,κιχείω,Aor12.;Subj5.;Act1.
1.27.t1,ἢ,
1.27.t2,νῦν,
1.27.t3,δηθύνοντ',Pres6.;Partic2.;Agr.
1.27.t4,ἢ,
1.27.t5,ὕστερον,Acc8.
1.27.t6,αὖτις,
1.27.t7,ἰόντα,Pres6.;Partic2.;Agr.
1.28.t1,μή,
1.28.t2,νύ,
1.28.t3,τοι,Dat1.
1.28.t4,οὐ,
1.28.t5,χραίσμῃ,Pres6.;Act1.
1.28.t6,σκῆπτρον,Nom1.
1.28.t7,καὶ,
1.28.t8,στέμμα,Nom1.
1.28.t9,θεοῖο,Gen1.
1.29.t1,τὴν,Acc1.
1.29.t2,δ',
1.29.t3,ἐγὼ,Nom1.
1.29.t4,οὐ,
1.29.t5,λύσω,Fut1.;Ind1.;Act1.
1.29.t6,πρίν,
1.29.t7,μιν,Acc1.
1.29.t8,καὶ,
1.29.t9,γῆρας,Nom1.
1.29.t10,ἔπεισιν,Pres4.;Ind7.;Act1.
1.30.t1,ἡμετέρῳ,Agr.
1.30.t2,ἐνὶ,Prep3.
1.30.t3,οἴκῳ,GBP.
1.30.t4,ἐν,Prep3.
1.30.t5,Ἄργεϊ,GBP.
1.30.t6,τηλόθι,Prep3.
1.30.t7,πάτρης,GBP.
1.31.t1,ἱστὸν,Acc1.
1.31.t2,ἐποιχομένην,Pres6.;Partic2.;Mid4.;Agr.
1.31.t3,καὶ,
1.31.t4,ἐμὸν,Agr.
1.31.t5,λέχος,Acc1.
1.31.t6,ἀντιόωσαν,Pres6.;Partic2.;Act1.;Agr.
1.32.t1,ἀλλ',
1.32.t2,ἴθι,Pres6.;Impr1.;Act1.
1.32.t3,μή,
1.32.t4,μ',Acc1.
1.32.t5,ἐρέθιζε,Pres6.;Impr1.
1.32.t6,σαώτερος,Acc8.
1.32.t7,ὥς,
1.32.t8,κε,
1.32.t9,νέηαι,Pres6.;Subj7.;Mid4.
1.33.t1,ὣς,
1.33.t2,ἔφατ',Impf1.;Ind1.;Mid3.
1.33.t3,ἔδεισεν,Aor1.;Ind1.;Act1.
1.33.t4,δ',
1.33.t5,ὃ,Agr.
1.33.t6,γέρων,Nom1.
1.33.t7,καὶ,
1.33.t8,ἐπείθετο,Impf1.;Ind1.;Mid7.
1.33.t9,μύθῳ,Dat1.
1.34.t1,βῆ,Aor2.;Ind1.;Act1.
1.34.t2,δ',
1.34.t3,ἀκέων,Agr.
1.34.t4,παρὰ,Prep3.
1.34.t5,θῖνα,GBP.
1.34.t6,πολυφλοίσβοιο,Agr.
1.34.t7,θαλάσσης,
1.35.t1,πολλὰ,Acc8.
1.35.t2,δ',
1.35.t3,ἔπειτ',
1.35.t4,ἀπάνευθε,
1.35.t5,κιὼν,Aor12.;Partic2.;Act1.;Agr.
1.35.t6,ἠρᾶθ',Impf1.;Ind1.;Mid3.
1.35.t7,ὃ,Agr.
1.35.t8,γεραιὸς,Nom1.
1.36.t1,Ἀπόλλωνι,Dat1.
1.36.t2,ἄνακτι,Agr.
1.36.t3,τὸν,Acc1.
1.36.t4,ἠΰκομος,Agr.
1.36.t5,τέκε,Aor2.;Ind7.;Act1.
1.36.t6,Λητώ,Nom1.
1.37.t1,κλῦθί,Aor12.;Impr1.
1.37.t2,μευ,Gen10.
1.37.t3,ἀργυρότοξ',Voc1.
1.37.t4,ὃς,Nom1.
1.37.t5,Χρύσην,Acc1.
1.37.t6,ἀμφιβέβηκας,Perf2.;Ind7.
1.38.t1,Κίλλάν,Acc1.
1.38.t2,τε,
1.38.t3,ζαθέην,Agr.
1.38.t4,Τενέδοιό,Gen10.
1.38.t5,τε,
1.38.t6,ἶφι,
1.38.t7,ἀνάσσεις,Pres1.;Ind7.;Act1.
1.39.t1,Σμινθεῦ,Voc1.
1.39.t2,εἴ,
1.39.t3,ποτέ,
1.39.t4,τοι,Dat3.
1.39.t5,χαρίεντ',Dat9.
1.39.t6,ἐπὶ,
1.39.t7,νηὸν,Acc1.
1.39.t8,ἔρεψα,Aor2.;Ind7.;Act1.
1.40.t1,ἢ,
1.40.t2,εἰ,
1.40.t3,δή,
1.40.t4,ποτέ,
1.40.t5,τοι,Dat3.
1.40.t6,κατὰ,
1.40.t7,πίονα,Agr.
1.40.t8,μηρί',Acc1.
1.40.t9,ἔκηα,Aor2.;Ind7.;Act1.
1.41.t1,ταύρων,Gen1.
1.41.t2,ἠδ',
1.41.t3,αἰγῶν,Gen1.
1.41.t4,τὸ,
1.41.t5,δέ,
1.41.t6,μοι,Dat3.
1.41.t7,κρήηνον,Aor12.;Impr1.;Act1.
1.41.t8,ἐέλδωρ,Acc1.
1.42.t1,τίσειαν,Aor12.;Opt1.;Act1.
1.42.t2,Δαναοὶ,Nom1.
