urn,label,description,data,link
urn:cite2:hmt:place.v1:place124,Arisbe,town in the Troad,"commenting=""Commander: Asios"" coordinates=""26.542314, 40.199817""",https://pleiades.stoa.org/places/501359
urn:cite2:hmt:place.v1:place406,Cromna,"or Kromna, a locality in Paphlagonia","tagging=""Paphlagonians"" commenting=""Commander: Pylaimenes"" coordinates=""32.6765, 41.82841""",https://pleiades.stoa.org/places/844994
urn:cite2:exploreHomer:place.v1:place1,Phocaea,"An ancient settlement of Asia Minor, modern Foça in Turkey.","tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""26.75261, 38.6684""",https://pleiades.stoa.org/places/550823
urn:cite2:hmt:place.v1:place377,Pyrasus,a town in Thessaly,"tagging=""Phylake"" commenting=""Commander: Podarkes"" coordinates=""22.8206, 39.27922""",https://pleiades.stoa.org/places/541081
urn:cite2:hmt:place.v1:place305,Erythrai,"Erythrae, a town in Boeotia","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""26.48103, 38.38122""",https://pleiades.stoa.org/places/550535
urn:cite2:exploreHomer:place.v1:place2,Okaleia?,"An ancient place, cited: BAtlas 55 E4 Okaleia?","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.03774, 38.351509""",https://pleiades.stoa.org/places/540978
urn:cite2:hmt:place.v1:place30,Boeotia,region containing the Greek Thebes,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.184677533333, 38.346688033333""",https://pleiades.stoa.org/places/540689
urn:cite2:exploreHomer:place.v1:place3,Oitylos,"An ancient place, cited: BAtlas 58 C4 Oitylos","tagging=""Laconians"" commenting=""Commander: Menelaos"" coordinates=""22.3848, 36.705058""",https://pleiades.stoa.org/places/570527
urn:cite2:exploreHomer:place.v1:place4,Cyparissius Sinus,"An ancient place, cited: BAtlas 58 A2 Cyparissius Sinus","tagging=""Pylos"" commenting=""Commander: Nestor"" coordinates=""21.25, 37.75""",https://pleiades.stoa.org/places/570185
urn:cite2:hmt:place.v1:place303,Harma,a town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.625, 38.125""",https://pleiades.stoa.org/places/579943
urn:cite2:hmt:place.v1:place130,Arne,town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""22.93328, 38.48288""",https://pleiades.stoa.org/places/540663
urn:cite2:hmt:place.v1:place198,Anemoreia,town in Phocis,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos""",https://pleiades.stoa.org/places/543626
urn:cite2:exploreHomer:place.v1:place5,Hypereia,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today","commenting=""Commander: Eurypylos""",https://pleiades.stoa.org/places/573257
urn:cite2:hmt:place.v1:place21,Crete,island south of mainland Greece,"tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""24.995769971495, 35.219844391733""",https://pleiades.stoa.org/places/589748
urn:cite2:hmt:place.v1:place34,Phthia,southern Thessaly,"tagging=""Myrmidons"" commenting=""Commander: Achilles"" coordinates=""22.25, 39.25""",https://pleiades.stoa.org/places/541052
urn:cite2:hmt:place.v1:place10,Arcadia,province in the Peloponnese,"tagging=""Arcadians"" commenting=""Commander: Agapenor"" coordinates=""22.165323097346, 37.56741926845""",https://pleiades.stoa.org/places/570102
urn:cite2:exploreHomer:place.v1:place6,Oichalia?,"An ancient place, cited: BAtlas 55 G3 Oichalia?","commenting=""Commanders: Asklepios, Podaleirios, Machaon"" coordinates=""24.099827, 38.602679""",https://pleiades.stoa.org/places/540971
urn:cite2:exploreHomer:place.v1:place7,Olooson,"An ancient place, cited: BAtlas 55 C1 Olooson","commenting=""Commanders: Polypoites, Leonteus"" coordinates=""22.215715, 39.89278""",https://pleiades.stoa.org/places/540981
urn:cite2:exploreHomer:place.v1:place8,Perkote,"An ancient place, cited: BAtlas 51 H4 Perkote","coordinates=""26.588806, 40.273913""",https://pleiades.stoa.org/places/501556
urn:cite2:hmt:place.v1:place319,Tarphe,a town in Locris,"tagging=""Locrians"" commenting=""Commander: Ajax Oileus"" coordinates=""22.728224, 38.717051""",https://pleiades.stoa.org/places/540958
urn:cite2:hmt:place.v1:place323,Kerinthos,"Cerinthus, a city in Euboea","tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""23.48282, 38.825075""",https://pleiades.stoa.org/places/540861
urn:cite2:hmt:place.v1:place165,Corinth,"(old name is Ephyra), know as Argive Ephyre in Homer","tagging=""Mycenaeans"" commenting=""Commander: Agamemnon"" coordinates=""22.878721, 37.906045""",https://pleiades.stoa.org/places/570182
urn:cite2:exploreHomer:place.v1:place9,Enispe,"An ancient place, cited: BAtlas 58 unlocated Enispe Ins.","tagging=""Arcadians"" commenting=""Commander: Agapenor""",https://pleiades.stoa.org/places/573204
urn:cite2:hmt:place.v1:place126,Aetolia,"Region of Western Greece, north of the Gulf of Corinth","tagging=""Aetolians"" commenting=""Commander: Thoas"" coordinates=""21.25, 38.75""",https://pleiades.stoa.org/places/540591
urn:cite2:hmt:place.v1:place332,Cleonae,"or Kleonai, a town in Argolis","tagging=""Mycenaeans"" commenting=""Commander: Agamemnon"" coordinates=""22.75372, 37.81708""",https://pleiades.stoa.org/places/570361
urn:cite2:hmt:place.v1:place167,Amyclae,"a city in Laconia, near the Eurotas, 20 stadia S.E. of Sparta, and the residence of Tyndareus","tagging=""Laconians"" commenting=""Commander: Menelaos""",https://pleiades.stoa.org/places/438675
urn:cite2:exploreHomer:place.v1:place10,Ithaca,"An ancient place, cited: BAtlas 54 C5 Ithaca","tagging=""Cephallenians"" commenting=""Commander: Odysseus"" coordinates=""20.638399, 38.44193""",https://pleiades.stoa.org/places/530905
urn:cite2:exploreHomer:place.v1:place11,Antinoopolis,"An ancient city in Egypt established by Hadrian in A.D. 122 in honor of Antinous. The city stood on the east bank of the Nile, opposite Hermopolis.","tagging=""Myrmidons"" commenting=""Commander: Achilles"" coordinates=""30.879299, 27.808099""",https://pleiades.stoa.org/places/756518
urn:cite2:hmt:place.v1:place206,Orthe,town in Thessaly,"commenting=""Commanders: Polypoites, Leonteus"" coordinates=""22.16827, 39.721527""",https://pleiades.stoa.org/places/540992
urn:cite2:exploreHomer:place.v1:place12,Bryseai/Byseai,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today","tagging=""Laconians"" commenting=""Commander: Menelaos""",https://pleiades.stoa.org/places/573156
urn:cite2:exploreHomer:place.v1:place13,Augeiai,"An ancient place, cited: BAtlas 55 unlocated Augeiai","tagging=""Locrians"" commenting=""Commander: Ajax Oileus""",https://pleiades.stoa.org/places/543648
urn:cite2:hmt:place.v1:place26,Rhodes,island off the SW coast of Turkey,"coordinates=""28.15629, 36.41451""",https://pleiades.stoa.org/places/590031
urn:cite2:exploreHomer:place.v1:place14,Ormenion/Orminion,"An ancient place, cited: BAtlas 55 unlocated Ormenion/Orminion","commenting=""Commander: Eurypylos""",https://pleiades.stoa.org/places/543819
urn:cite2:hmt:place.v1:place6,Ilium,ancient name for Troy,"coordinates=""26.23873, 39.9577""",https://pleiades.stoa.org/places/550595
urn:cite2:exploreHomer:place.v1:place15,Amastris/Sesamos,"An ancient settlement on the Black Sea coast in Asia Minor, modern Amasra in Turkey.","tagging=""Paphlagonians"" commenting=""Commander: Pylaimenes"" coordinates=""32.385648, 41.746969""",https://pleiades.stoa.org/places/844856
urn:cite2:hmt:place.v1:place124,Arisbe,town in the Troad,"coordinates=""26.542314, 40.199817""",https://pleiades.stoa.org/places/501359
urn:cite2:exploreHomer:place.v1:place16,Tereia,"An ancient place, cited: BAtlas 52 unlocated Tereia","commenting=""Commander: Adrastos""",https://pleiades.stoa.org/places/515669
urn:cite2:hmt:place.v1:place182,Thespia,a town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.154521, 38.293384""",https://pleiades.stoa.org/places/541141
urn:cite2:exploreHomer:place.v1:place17,Hylai,"An ancient place, cited: BAtlas 55 E4 Hylai","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.278871, 38.411036""",https://pleiades.stoa.org/places/540824
urn:cite2:exploreHomer:place.v1:place18,Dion,"Dion was a settlement of Pieria located just south of Macedonia and held, traditionally, as the place of Orpheus' death and burial.","tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""22.491299, 40.177012""",https://pleiades.stoa.org/places/491572
urn:cite2:hmt:place.v1:place148,Orchomenus,"ancient city on Lake Copais in Boeotia, associated with the Minyans","tagging=""Arcadians"" commenting=""Commander: Agapenor"" coordinates=""22.959486, 38.495082""",https://pleiades.stoa.org/places/540987
urn:cite2:exploreHomer:place.v1:place19,Zacynthus,"An ancient place, cited: BAtlas 54 inset Zacynthus","tagging=""Cephallenians"" commenting=""Commander: Odysseus"" coordinates=""20.892091, 37.787178""",https://pleiades.stoa.org/places/531154
urn:cite2:exploreHomer:place.v1:place20,Tegyra,"An ancient place, cited: BAtlas 55 E3 Tegyra","tagging=""Aspledon"" commenting=""Commanders: Askalaphos, Ialmenos"" coordinates=""23.034484, 38.512851""",https://pleiades.stoa.org/places/541126
urn:cite2:hmt:place.v1:place200,Phylace,town in Thessaly,"tagging=""Phylake"" commenting=""Commander: Podarkes"" coordinates=""22.601194, 39.241202""",https://pleiades.stoa.org/places/541053
urn:cite2:exploreHomer:place.v1:place21,Styx (river),"An ancient place, cited: BAtlas 58 C1 Styx fl.","coordinates=""22.25, 38.25""",https://pleiades.stoa.org/places/570698
