urn,label,description,link
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:0,Acastus,Ancient Greek mythological Argonaut,https://en.wikipedia.org/wiki/Acastus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,Achilles,Greek mythological hero,https://en.wikipedia.org/wiki/Achilles
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,Adraste,,https://en.wikipedia.org/wiki/Adraste
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:3,Aeacus,Ancient Greek mythological ruler of the Myrmidons and judge of the dead,https://en.wikipedia.org/wiki/Aeacus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:4,Aegisthus,Figure in Greek mythology,https://en.wikipedia.org/wiki/Aegisthus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:5,Aeolus,Greek mythological hero,https://en.wikipedia.org/wiki/Aeolus_(Odyssey)
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:6,Aeson,King of Iolcus,https://en.wikipedia.org/wiki/Aeson
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:7,Aeëtes,Greek mythical character,https://en.wikipedia.org/wiki/Ae%C3%ABtes
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:8,Agamemnon,Figure from Greek mythology,https://en.wikipedia.org/wiki/Agamemnon
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:9,Ajax,Character in Greek Mythology,https://en.wikipedia.org/wiki/Ajax_the_Great
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:10,Alcinous,Greek mythical character,https://en.wikipedia.org/wiki/Alcinous
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:11,Alcippe,,https://en.wikipedia.org/wiki/Alcippe_(mythology)
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:12,Alcmene,Mother of Heracles,https://en.wikipedia.org/wiki/Alcmene
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:13,Alector,Several characters in Greek mythology,https://en.wikipedia.org/wiki/Alector
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:14,Aloadae,Giants from Greek mythology,https://en.wikipedia.org/wiki/Aloadae
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:15,Aloeus,Ancient Greek mythological figures,https://en.wikipedia.org/wiki/Aloeus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:16,Amphiaraus,Figure from Greek mythology,https://en.wikipedia.org/wiki/Amphiaraus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:17,Amphimedon,Suitor of Penelope in Homer's Odyssey,https://en.wikipedia.org/wiki/Amphimedon
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:18,Amphinomus,Mythological Greek character,https://en.wikipedia.org/wiki/Amphinomus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:19,Amphion,,https://en.wikipedia.org/wiki/Amphion_and_Zethus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:20,Amphithea,,https://en.wikipedia.org/wiki/Amphithea
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:21,Amphitrite,Oceanid of Greek mythology,https://en.wikipedia.org/wiki/Amphitrite
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:22,Amphitryon,"Figure in Greek mythology, husband of Alcmene",https://en.wikipedia.org/wiki/Amphitryon
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:23,Amythaon,Ancient Greek mythological figure,https://en.wikipedia.org/wiki/Amythaon
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:24,Anticlea,Mother of Odysseus,https://en.wikipedia.org/wiki/Anticlea
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:25,Antilochus,Mythological prince,https://en.wikipedia.org/wiki/Antilochus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:26,Antinous,Lover of Roman emperor Hadrian,https://en.wikipedia.org/wiki/Antinous
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:27,Antiope,Greek mythological figure,https://en.wikipedia.org/wiki/Antiope_of_Thebes
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:28,Antiphates,Set of mythological Greek characters,https://en.wikipedia.org/wiki/Antiphates
