urn,label,description,data,link
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,Thebes (Egypt : Extinct city),,,http://geo-kima.org/place/2262
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,Scheria (Island),,,http://geo-kima.org/place/22949
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:2,Dardanelles Strait (Turkey),strait in northwestern Turkey,"coordinates=""40.2, 26.4""",http://geo-kima.org/place/3584
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:3,"Olympus, Mount (Greece)",mountain of Greece,"coordinates=""40.06, 22.35""",http://geo-kima.org/place/3789
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:4,Amnisos (Extinct city),,"coordinates=""35.33088, 25.20608""",http://geo-kima.org/place/4098
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,Ethiopia,country in East Africa,"coordinates=""9, 40""",http://geo-kima.org/place/6924
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,Hellas,"An ancient place, cited: BAtlas 102 D4 no. 10 (Hellas)","coordinates=""37.5, 22.5""",http://pleiades.stoa.org/places/1001896
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:7,Aethiopia,Aethiopia is a term used in the Classical sources to refer both to Upper Egypt and the regions south of the Sahara desert. It is employed as early as the time of Homer.,"coordinates=""32.5, 3.5""",http://pleiades.stoa.org/places/334481
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:8,Temesa/Tempsa,"An ancient city located on the west coast of Bruttium, just north of the Gulf of Hipponium.","coordinates=""39.036454, 16.159633""",http://pleiades.stoa.org/places/452469
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:9,Aeoliae (islands),A volcanic archipelago in the Tyrrhenian Sea composed of eight islands.,"coordinates=""38.57980975, 14.8824195""",http://pleiades.stoa.org/places/462076
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:10,Arethusae Fons,"Arethusae Fons is a spring in Ortygia, Sicily, traditionally connected with the nymph Arethusa.","coordinates=""37.057294, 15.292958""",http://pleiades.stoa.org/places/462101
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:11,Ortygia (island),A coastal island of Sicily that became the center of ancient Syracuse.,"coordinates=""37.0570712, 15.29293""",http://pleiades.stoa.org/places/462402
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,Sicilia (island),"Sicily is the largest island in the Mediterranean Sea and has been the site of human habitation since ca. 8,000 BC. In historical terms Sicily has seen important settlement activity connected to numerous culture groups - Punic, Carthaginian, Greek, Roman, Vandalic, Ostrogothic, Byzantine, Arabic, and Norman.","coordinates=""37.54396265585135, 14.130954889982146""",http://pleiades.stoa.org/places/462492
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:14,Doliche,"An ancient place, cited: BAtlas 50 B4 Doliche","coordinates=""40.059406, 22.169466""",http://pleiades.stoa.org/places/491576
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:15,Olympos (mountain in Greece),"Olympus is the highest mountain in Greece, located in the Olympus Range. In Greek mythology, it is the home of the Olympian gods.","coordinates=""40.085556, 22.358611""",http://pleiades.stoa.org/places/491677
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:16,Pieria,"Originally the territory of the Pieres, later incoporated into Macedonia","coordinates=""40.13002811595563, 22.424792491340284""",http://pleiades.stoa.org/places/491696
