named_entity_urn,ref,token_position
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.1.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.2.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.3.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.4.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.5a.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.5b.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.6.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.7.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.8.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.9.1,83
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.9.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:1.10.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:2.1.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:2.2.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:2.3.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:2.4.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:2.5.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:2.6.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:3.1.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:3.2.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.3.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.4.5,67
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.4.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.7.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.8.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.9.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.10.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.13.4,84
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.13.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.14.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:4.15.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:5.2.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:5.5.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:5.6.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:5.7.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:5.8.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:5.11.seg-0,2
urn:cite2:beyond-translation:place.atlas_v1:cicero_places-40,urn:cts:latinLit:phi0474.phi056.perseus-lat1-text:5.14.1,19
