named_entity_urn,ref,token_position
urn:cite2:beyond-translation:place.atlas_v1:11,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,276
urn:cite2:beyond-translation:place.atlas_v1:11,urn:cts:engLit:gibbon.decline.ccel-eng1:01.37.01,140
urn:cite2:beyond-translation:place.atlas_v1:50,urn:cts:engLit:gibbon.decline.ccel-eng1:01.23.01,130
urn:cite2:beyond-translation:place.atlas_v1:64,urn:cts:engLit:gibbon.decline.ccel-eng1:01.19.01,255
urn:cite2:beyond-translation:place.atlas_v1:64,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,187
urn:cite2:beyond-translation:place.atlas_v1:64,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.00,1
urn:cite2:beyond-translation:place.atlas_v1:64,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,6
urn:cite2:beyond-translation:place.atlas_v1:64,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,35
urn:cite2:beyond-translation:place.atlas_v1:64,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,95
urn:cite2:beyond-translation:place.atlas_v1:64,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,166
urn:cite2:beyond-translation:place.atlas_v1:71,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,108
urn:cite2:beyond-translation:place.atlas_v1:27,urn:cts:engLit:gibbon.decline.ccel-eng1:01.34.01,116
urn:cite2:beyond-translation:place.atlas_v1:27,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,2
urn:cite2:beyond-translation:place.atlas_v1:49,urn:cts:engLit:gibbon.decline.ccel-eng1:01.20.01,167
urn:cite2:beyond-translation:place.atlas_v1:49,urn:cts:engLit:gibbon.decline.ccel-eng1:01.25.01,166
urn:cite2:beyond-translation:place.atlas_v1:49,urn:cts:engLit:gibbon.decline.ccel-eng1:01.25.01,202
urn:cite2:beyond-translation:place.atlas_v1:12,urn:cts:engLit:gibbon.decline.ccel-eng1:01.27.01,54
urn:cite2:beyond-translation:place.atlas_v1:35,urn:cts:engLit:gibbon.decline.ccel-eng1:01.24.01,147
urn:cite2:beyond-translation:place.atlas_v1:35,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,38
urn:cite2:beyond-translation:place.atlas_v1:37,urn:cts:engLit:gibbon.decline.ccel-eng1:01.29.01,7
