named_entity_urn,ref,token_position
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.34,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.35,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.35,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.35,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.280,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.288,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.345,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.386,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.282,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.287,5
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:3,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.50,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:4,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.381,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.39,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.106,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.106,5
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.106,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.307,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.310,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.311,9
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:7,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.306,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:8,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.20,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:9,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.20,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:10,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.123,3
