named_entity_urn,ref,token_position
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.422,8
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.123,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.5,3
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.108,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.382,2
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.427,8
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.437,6
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.491,8
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:3,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.307,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:4,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.296,2
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:4,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.328,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:4,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.385,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.333,4
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.14,4
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.78,3
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.85,4
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.116,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.180,5
