named_entity_urn,ref,token_position
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:14.336,8
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.106,6
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.109,8
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.189,3
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.5,3
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.467,6
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.470,6
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.478,2
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.482,9
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.486,8
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.546,3
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.551,6
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.557,2
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.75,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.15,5
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.36,6
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.72,7
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.76,8
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.94,7
