named_entity_urn,ref,token_position
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.126,7
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:16.227,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.3,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.8,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.35,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.55,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.114,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.195,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.197,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.202,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.241,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.257,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.270,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.284,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.298,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.302,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.327,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:19.279,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.336,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.343,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.349,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.5,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.11,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.21,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.23,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.26,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.86,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.91,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.96,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.97,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.108,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.117,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.188,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.191,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.198,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.201,5
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.207,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.231,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.250,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.369,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.386,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.387,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.428,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.440,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.535,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.536,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.557,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.567,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.34,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.35,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.35,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.35,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.280,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.288,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.345,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.386,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.12,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.36,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.120,7
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.130,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.149,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.160,5
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.160,7
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.166,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.175,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.186,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.204,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.210,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.302,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.304,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.322,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.369,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.11,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.16,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.39,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.62,5
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.79,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.98,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.108,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.136,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.156,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.186,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.316,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:23.338,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:2,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.82,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:3,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.173,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:3,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.722,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:4,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:19.188,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.84,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.282,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:15.80,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.726,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.816,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:1.344,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.496,5
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:7,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:1.22,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:7,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:1.23,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:7,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:5.287,5
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:8,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:1.184,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:9,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:10.1,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:9,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:10.55,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:10,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.408,7
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:11,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:15.404,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:19.275,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:20.383,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.107,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.211,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.307,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.366,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:24.389,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:12.127,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:12.135,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:12,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:23.318,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.172,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.172,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.172,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:1.85,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:12.448,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.244,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:7.254,3
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:13,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:23.333,4
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:14,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:18.127,2
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:15,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:15.43,9
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:15,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:15.523,6
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:15,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.42,1
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:15,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.188,6
