named_entity_urn,ref,token_position
urn:cite2:hmt:pers.v1:pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.1,4
urn:cite2:hmt:pers.v1:pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.1,5
urn:cite2:hmt:pers.v1:pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.7,7
urn:cite2:hmt:pers.v1:pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.5,4
urn:cite2:hmt:pers.v1:pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.9,3
urn:cite2:hmt:pers.v1:pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.21,2
urn:cite2:hmt:pers.v1:pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.7,1
urn:cite2:hmt:pers.v1:pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.12,1
urn:cite2:hmt:pers.v1:pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.16,1
urn:cite2:hmt:pers.v1:pers119,urn:cts:greekLit:tlg0012.tlg001.msA:1.16,1
urn:cite2:hmt:pers.v1:pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.17,1
urn:cite2:hmt:pers.v1:pers119,urn:cts:greekLit:tlg0012.tlg001.msA:1.17,1
urn:cite2:hmt:pers.v1:pers35,urn:cts:greekLit:tlg0012.tlg001.msA:1.9,1
urn:cite2:hmt:pers.v1:pers40,urn:cts:greekLit:tlg0012.tlg001.msA:1.14,6
urn:cite2:hmt:pers.v1:pers40,urn:cts:greekLit:tlg0012.tlg001.msA:1.21,5
urn:cite2:hmt:pers.v1:pers44,urn:cts:greekLit:tlg0012.tlg001.msA:1.11,3
urn:cite2:hmt:pers.v1:pers145,urn:cts:greekLit:tlg0012.tlg001.msA:1.19,2
