named_entity_urn,ref,token_position
urn:cite2:hmt:place.v1:place124,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,354
urn:cite2:hmt:place.v1:place124,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,391
urn:cite2:hmt:place.v1:place406,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,122
urn:cite2:exploreHomer:place.v1:place1,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,323
urn:cite2:exploreHomer:place.v1:place1,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,43
urn:cite2:hmt:place.v1:place377,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,137
urn:cite2:hmt:place.v1:place305,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,188
urn:cite2:exploreHomer:place.v1:place2,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,196
urn:cite2:hmt:place.v1:place30,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,152
urn:cite2:hmt:place.v1:place30,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,265
urn:cite2:hmt:place.v1:place30,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,50
urn:cite2:exploreHomer:place.v1:place3,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,187
urn:cite2:exploreHomer:place.v1:place4,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,262
urn:cite2:hmt:place.v1:place303,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,185
urn:cite2:hmt:place.v1:place130,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,234
urn:cite2:hmt:place.v1:place198,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,11
urn:cite2:exploreHomer:place.v1:place5,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,133
