ve_ref,value,lemma,gloss (eng),tag
1.t1,Hwæt!,hwæt,well,indeclinable
1.t2,Wē,we,we,np
1.t3,Gār-Dena,Gar-Dene,Spear-Danes,gp
1.t4,in,in,in,indeclinable
1.t5,"gēardagum,",gear-dagas,days of yore,dp
2.t1,þēodcyninga,þeod-cyning,king of the nation,gp
2.t2,þrym,þrym,glory,as
2.t3,"gefrūnon,",gefrignan,hear,p1p
3.t1,hū,hu,how,indeclinable
3.t2,ðā,se,that,npm
3.t3,æþelingas,æþeling,prince,np
3.t4,ellen,ellen,deeds of courage,as
3.t5,fremedon.,fremman,perform,p3p
4.t1,Oft,oft,often,indeclinable
4.t2,Scyld,Scyld,Scyld,ns
4.t3,Scēfing,Scefing,Scefing,ns
4.t4,sceaþena,sceaða,enemy,gp
4.t5,"þrēatum,",þreat,troop,dp
5.t1,monegum,monig,many,dpf
5.t2,mǣgþum,mægþ,people,dp
5.t3,meodosetla,medu-setl,mead-bench,gp
5.t4,"oftēah,",ofteon,deprive,p3s
6.t1,egsode,egsian,terrify,p3s
6.t2,"eorlas,",eorl,warrior,ap
6.t3,syððan,siððan,after,indeclinable
6.t4,ǣrest,ærest,first,indeclinable
6.t5,wearð,weorðan,be,p3s
7.t1,fēasceaft,feasceaft,destitute,nsm
7.t2,funden.,findan,find,pp
7.t3,Hē,he,he,nsm
7.t4,þæs,þæt,that,gsn
7.t5,frōfre,frofor,consolation,as
7.t6,gebād:,gebidan,experience,p3s
8.t1,wēox,weaxan,grow,p3s
8.t2,under,under,under,indeclinable
8.t3,"wolcnum,",wolcen,cloud,dp
8.t4,weorðmyndum,weorð-mynd,honour,dp
8.t5,"þāh,",þeon,prosper,p3s
9.t1,oð,oð þæt,until,indeclinable
9.t2,þæt,he,he,dsm
9.t3,him,æghwylc,each,nsm
9.t4,ǣghwylc,se,the,gpm
9.t5,þāra,ymbsittend,neighbouring peoples,gp
10.t1,ofer,ofer,across,indeclinable
10.t2,hronrāde,hron-rad,whale-road,as
10.t3,hȳran,hyran,obey,i
10.t4,"scolde,",sculan,have to,p3s
11.t1,gomban,gombe,tribute,as
11.t2,gyldan.,gyldan,pay,i
11.t3,Þæt,þæt,that,nsn
11.t4,wæs,wesan,be,p3s
11.t5,gōd,god,good,nsm
11.t6,cyning.,cyning,king,ns
12.t1,Ðǣm,se,he,dsm
12.t2,eafera,eafora,son,ns
12.t3,wæs,wesan,be,p3s
12.t4,æfter,æfter,(coming) after (him),indeclinable
12.t5,cenned,cennan,bear,pp
13.t1,geong,geong,young,nsm
13.t2,in,in,in,indeclinable
13.t3,"geardum,",geard,home,dp
13.t4,þone,se,whom,asm
13.t5,God,God,God,ns
13.t6,sende,sendan,send,p3s
14.t1,folce,folc,people,ds
14.t2,tō,to,as,indeclinable
14.t3,frōfre;,frofor,consolation,ds
14.t4,fyrenðearfe,fyren-þearf,dire distress,as
14.t5,ongeat,ongitan,see,p3s
15.t1,þæt,þæt,that,indeclinable
15.t2,hīe,hie,they,npm
15.t3,ǣr,ær,before,indeclinable
15.t4,drugon,dreogan,endure,p3p
15.t5,aldorlēase,ealdorleas,lordless,npm
16.t1,lange,long,long,asf
16.t2,hwīle.,hwil,time,as
16.t3,Him,he,he,dsm
16.t4,þæs,þæt,that,gsn
16.t5,līffrea,lif-frea,lord of life,ns
17.t1,wuldres,wuldor,glory,gs
17.t2,wealdend,wealdend,ruler,ns
17.t3,woroldāre,worold-ar,worldly honour,as
17.t4,forgeaf:,forgifan,grant,p3s
18.t1,Bēow,Beow,Beow,ns
18.t2,wæs,wesan,be,p3s
18.t3,brēme,breme,famous,nsm
18.t4,–,blæd,fame,ns
18.t5,blǣd,wide,widely,indeclinable
18.t6,wīde,springan,spread,p3s
19.t1,Scyldes,Scyld,Scyld,gs
19.t2,eafera,eafora,son,ns
19.t3,Scedelandum,Scede-land,Scandia,dp
19.t4,in.,in,in,indeclinable
20.t1,Swā,swa,so,indeclinable
20.t2,sceal,sculan,should,pr3s
20.t3,geong,geong,young,nsm
20.t4,guma,guma,man,ns
20.t5,gōde,god,good actions,ds
20.t6,"gewyrcean,",gewyrcan,bring about,i
21.t1,fromum,from,splendid,dpf
21.t2,feohgiftum,feoh-gift,gift of treasure,dp
21.t3,on,on,in,indeclinable
21.t4,fæder,fæder,father,gs
21.t5,"bearme,",bearm,possession,ds
22.t1,þæt,þæt,that,indeclinable
22.t2,hine,he,he,asm
22.t3,on,on,in,indeclinable
22.t4,ylde,yldo,old age,ds
22.t5,eft,eft,afterwards,indeclinable
22.t6,gewunigen,gewunian,stand by,prc3p
23.t1,"wilgesīþas,",wil-gesið,close companion,np
23.t2,þonne,þonne,when,indeclinable
23.t3,wīg,wig,war,ns
23.t4,"cume,",cuman,come,prc3s
24.t1,lēode,leod,man,np
