ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
1.t1,Σωκράτους,Σωκράτους,Σωκράτης,NOUN,Socrates,GEN.SG M,n-s---mg-
1.t2,δὲ,δὲ,δέ,,but,INDECL,b--------
1.t3,ἄξιόν,ἄξιόν,ἄξιος,ADJ,worthy,NOM.SG N,a-s---nn-
1.t4,μοι,μοι,ἐγώ,PRONOUN,I (first person pronoun),DAT.SG c,p-s---cd-
1.t5,δοκεῖ,δοκεῖ,δοκέω,VERB,"seem, impers. it seems best..",PRES ACT 3SG IND,v3spia---
1.t6,εἶναι,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
1.t7,μεμνῆσθαι,μεμνῆσθαι,μιμνῄσκω,VERB,,PRF MID INF,v--rne---
1.t8,καὶ,καὶ,καί,,"and, also",INDECL,b--------
1.t9,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
1.t10,ἐπειδὴ,ἐπειδὴ,ἐπειδή,CONJ,,INDECL,c--------
1.t11,ἐκλήθη,ἐκλήθη,καλέω,VERB,"to call, summon",AOR PASS 3SG IND,v3saip---
1.t12,εἰς,εἰς,εἰς,PREP,"into, to c. acc.",INDECL,r--------
1.t13,τὴν,τὴν,ὁ,ART,the,ACC.SG F,l-s---fa-
1.t14,δίκην,δίκην,δίκη,NOUN,"(custom, usage) justice, lawsuit, penalty",ACC.SG F,n-s---fa-
1.t15,ἐβουλεύσατο,ἐβουλεύσατο,βουλεύω,VERB,"to take counsel, deliberate, concert measures",AOR MID 3SG IND,v3saim---
1.t16,περί,περί,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
1.t17,τε,τε,τε,,and,INDECL,b--------
1.t18,τῆς,τῆς,ὁ,ART,the,GEN.SG F,l-s---fg-
1.t19,ἀπολογίας,ἀπολογίας,ἀπολογία,NOUN,"a speech in defence, defence",GEN.SG F,n-s---fg-
1.t20,καὶ,καὶ,καί,,"and, also",INDECL,b--------
1.t21,τῆς,τῆς,ὁ,ART,the,GEN.SG F,l-s---fg-
1.t22,τελευτῆς,τελευτῆς,τελευτή,NOUN,"a finishing, completion, accomplishment",GEN.SG F,n-s---fg-
1.t23,τοῦ,τοῦ,ὁ,ART,the,GEN.SG M,l-s---mg-
1.t24,βίου.,βίου,βίος,NOUN,life,GEN.SG M,n-s---mg-
1.t25,γεγράφασι,γεγράφασι,γράφω,VERB,"to scratch, draw, write",PRF ACT 3PL IND,v3pria---
1.t26,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
1.t27,οὖν,οὖν,οὖν,ADV,"so, then, therefore",INDECL,d--------
1.t28,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
1.t29,τούτου,τούτου,οὗτος,ADJ,this; that,GEN.SG N,a-s---ng-
1.t30,καὶ,καὶ,καί,,"and, also",INDECL,b--------
1.t31,ἄλλοι,ἄλλοι,ἄλλος,ADJ,"other, another",NOM.PL M,a-p---mn-
1.t32,καὶ,καὶ,καί,,"and, also",INDECL,b--------
1.t33,πάντες,πάντες,πᾶς,ADJ,"all, the whole",NOM.PL M,a-p---mn-
1.t34,ἔτυχον,ἔτυχον,τυγχάνω,VERB,"(with gen.) to hit the mark, to get; (with pple) to happen to, to actually",AOR ACT 3PL IND,v3paia---
1.t35,τῆς,τῆς,ὁ,ART,the,GEN.SG F,l-s---fg-
1.t36,μεγαληγορίας,μεγαληγορίας,μεγαληγορία,NOUN,big talking,GEN.SG F,n-s---fg-
1.t37,αὐτοῦ·,αὐτοῦ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,GEN.SG M,a-s---mg-
1.t38,ᾧ,ᾧ,ὅς,PRONOUN,"who, that, which: relative pronoun",DAT.SG M,p-s---md-
1.t39,καὶ,καὶ,καί,,"and, also",INDECL,b--------
1.t40,δῆλον,δῆλον,δῆλος,ADJ,"visible, conspicuous",NOM.SG N,a-s---nn-
1.t41,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
1.t42,τῷ,τῷ,ὁ,ART,the,DAT.SG N,l-s---nd-
1.t43,ὄντι,ὄντι,εἰμί,VERB,to be,PRES ACT DAT.SG N PTCP,v-sppand-
1.t44,οὕτως,οὕτως,οὕτως,ADV,"so, in this manner",INDECL,d--------
1.t45,ἐρρήθη,ἐρρήθη,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR PASS 3SG IND,v3saip---
1.t46,ὑπὸ,ὑπὸ,ὑπό,PREP,"from under, by, c. gen. under, c. dat., towards c. acc.",INDECL,r--------
1.t47,Σωκράτους.,Σωκράτους,Σωκράτης,NOUN,Socrates,GEN.SG M,n-s---mg-
1.t48,ἀλλʼ,ἀλλʼ,ἀλλά,,"otherwise, but",INDECL,b--------
1.t49,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
1.t50,ἤδη,ἤδη,ἤδη,ADV,already,INDECL,d--------
1.t51,ἑαυτῷ,ἑαυτῷ,ἑαυτοῦ,PRONOUN,"himself, herself, themselves",DAT.SG M,p-s---md-
1.t52,ἡγεῖτο,ἡγεῖτο,ἡγέομαι,VERB,"to lead; to consider, believe",IMPRF MID 3SG IND,v3siie---
1.t53,αἱρετώτερον,αἱρετώτερον,αἱρετός,ADJ,"that may be taken (αἱρέω); chosen, elected (αἱρέομαι)",ACC.SG N COMP,a-s---nac
1.t54,εἶναι,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
1.t55,τοῦ,τοῦ,ὁ,ART,the,GEN.SG M,l-s---mg-
1.t56,βίου,βίου,βίος,NOUN,life,GEN.SG M,n-s---mg-
1.t57,"θάνατον,",θάνατον,θάνατος,NOUN,death,ACC.SG M,n-s---ma-
1.t58,τοῦτο,τοῦτο,οὗτος,ADJ,this; that,ACC.SG N,a-s---na-
1.t59,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
1.t60,διεσαφήνισαν·,διεσαφήνισαν,διασαφηνίζω,VERB,to make quite clear,AOR ACT 3PL IND,v3paia---
1.t61,ὥστε,ὥστε,ὥστε,CONJ,so that,INDECL,c--------
1.t62,ἀφρονεστέρα,ἀφρονεστέρα,ἄφρων,ADJ,without sense,NOM.SG F COMP,a-s---fnc
1.t63,αὐτοῦ,αὐτοῦ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,GEN.SG M,a-s---mg-
1.t64,φαίνεται,φαίνεται,φαίνω,VERB,"to bring to light, make to appear",PRES MID 3SG IND,v3spie---
1.t65,εἶναι,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
1.t66,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
1.t67,μεγαληγορία.,μεγαληγορία,μεγαληγορία,NOUN,big talking,NOM.SG F,n-s---fn-
10.t1,οὕτως,οὕτως,οὕτως,ADV,"so, in this manner",INDECL,d--------
10.t2,δὲ,δὲ,δέ,,but,INDECL,b--------
10.t3,γνόντα,γνόντα,γιγνώσκω,VERB,"to learn to know, to perceive, mark, learn",AOR ACT ACC.SG M PTCP,v-sapama-
10.t4,αὐτὸν,αὐτὸν,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,ACC.SG M,a-s---ma-
10.t5,ἔφη,ἔφη,φημί,VERB,"to say, to claim",IMPRF ACT 3SG IND,v3siia---
10.t6,"[εἰπεῖν],",εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
10.t7,ἐπειδὴ,ἐπειδὴ,ἐπειδή,CONJ,,INDECL,c--------
10.t8,κατηγόρησαν,κατηγόρησαν,κατηγορέω,VERB,"to speak against, to accuse",AOR ACT 3PL IND,v3paia---
10.t9,αὐτοῦ,αὐτοῦ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,GEN.SG M,a-s---mg-
10.t10,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
10.t11,ἀντίδικοι,ἀντίδικοι,ἀντίδικος,ADJ,"an opponent in a suit, defendant",NOM.PL M,a-p---mn-
10.t12,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
10.t13,οὓς,οὓς,ὅς,PRONOUN,"who, that, which: relative pronoun",ACC.PL M,p-p---ma-
10.t14,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
10.t15,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
10.t16,πόλις,πόλις,πόλις,NOUN,a city,NOM.SG F,n-s---fn-
