ve_ref,value,word_value,lemma,gloss,part_of_speech,tag,case,mood
43.1.t1,τί,τί,τίς,"1: wie?, welke?",pronoun,p-s---na-,accusative,
43.1.t2,τηνικάδε,τηνικάδε,τηνικάδε,"at this time, then",adverb,d--------,,
43.1.t3,"ἀφῖξαι,",ἀφῖξαι,ἀφικνέομαι,"arrive at, come to, reach:",verb,v2srie---,,indicative
43.1.t4,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.1.t5,Κρίτων;,Κρίτων,Κρίτων,,noun,n-s---mv-,vocative,
43.2.t1,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),,b--------,,
43.2.t2,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
43.2.t3,πρῲ,πρῲ,πρωΐ,3: ´s ochtends | in het begin,adverb,d--------,,
43.2.t4,ἔτι,ἔτι,ἔτι,1: nog,adverb,d--------,,
43.2.t5,ἐστίν;,ἐστίν,εἰμί,1: gaan,verb,v3spia---,,indicative
43.3.t1,πάνυ,πάνυ,πάνυ,"1: zeer, heel",adverb,d--------,,
43.3.t2,μὲν,μὲν,μέν,1: wel...,adverb,d--------,,
43.3.t3,οὖν.,οὖν,οὖν,1: dus,adverb,d--------,,
43.3.t4,[0],[0],,,,,,
43.4.t1,πηνίκα,πηνίκα,πηνίκα,at what precise point of time? at what hour?,adverb,d--------,,
43.4.t2,μάλιστα;,μάλιστα,μάλα,"1: zeer, veel",adverb,d-------s,,
43.4.t3,[0],[0],,,,,,
43.5.t1,ὄρθρος,ὄρθρος,ὄρθρος,"the time just before or about daybreak, dawn, cock-crow",noun,n-s---mn-,nominative,
43.5.t2,βαθύς.,βαθύς,βαθύς,deep or high,adjective,a-s---mn-,nominative,
43.5.t3,[0],[0],,,,,,
43.6.t1,θαυμάζω,θαυμάζω,θαυμάζω,"wonder, marvel",verb,v1spia---,,indicative
43.6.t2,ὅπως,ὅπως,ὅπως,"1: opdat, om ... te",conjunction,c--------,,
43.6.t3,ἠθέλησέ,ἠθέλησέ,ἐθέλω,1: willen,verb,v3saia---,,indicative
43.6.t4,σοι,σοι,σύ,"1: jij, u",,p2s---cd-,,
43.6.t5,ὁ,ὁ,ὁ,1: ,article,l-s---mn-,nominative,
43.6.t6,τοῦ,τοῦ,ὁ,1: ,,l-s---ng-,,
43.6.t7,δεσμωτηρίου,δεσμωτηρίου,δεσμωτήριον,prison,noun,n-s---ng-,genitive,
43.6.t8,φύλαξ,φύλαξ,φύλαξ,"watcher, guard, sentinel",noun,n-s---mn-,nominative,
43.6.t9,ὑπακοῦσαι.,ὑπακοῦσαι,ὑπακούω,"hearken, give ear",verb,v--ana---,,infinitive
43.7.t1,συνήθης,συνήθης,συνήθης,"dwelling or living together, accustomed",adjective,a-s---mn-,nominative,
43.7.t2,ἤδη,ἤδη,ἤδη,"1: reeds, al | vanaf nu",adverb,d--------,,
43.7.t3,μοί,μοί,ἐγώ,1: ik,,p1s---cd-,,
43.7.t4,"ἐστιν,",ἐστιν,εἰμί,1: gaan,verb,v3spia---,,indicative
43.7.t5,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.7.t6,"Σώκρατες,",Σώκρατες,Σωκράτης,,noun,n-s---mv-,vocative,
43.7.t7,διὰ,διὰ,διά,"1: met de hulp van, wegens | doorheen, door | door middel van; via",preposition,r--------,,
43.7.t8,τὸ,τὸ,ὁ,1: ,article,l-s---na-,accusative,
43.7.t9,πολλάκις,πολλάκις,πολλάκις,1: dikwijls,adverb,d--------,,
43.7.t10,δεῦρο,δεῦρο,δεῦρο,1: hierheen | tot nog toe,adverb,d--------,,
43.7.t11,"φοιτᾶν,",φοιτᾶν,φοιτάω,"go to and fro, backwards and forwards",verb,v--pna---,,infinitive
43.7.t12,καί,καί,καί,"1: en | ook, zelfs",,b--------,,
43.7.t13,τι,τι,τις,"1: wie?, welke?",pronoun,p-s---nn-,nominative,
43.7.t14,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.7.t15,εὐεργέτηται,εὐεργέτηται,εὐεργετέω,to be a benefactor,verb,v3srie---,,indicative
43.7.t16,ὑπ’,ὑπ’,ὑπό,"1: onder; onder invloed van, door toedoen van | onder, in de macht van | tot onder",preposition,r--------,,
43.7.t17,ἐμοῦ.,ἐμοῦ,ἐγώ,1: ik,,p1s---cg-,,
43.8.t1,ἄρτι,ἄρτι,ἄρτι,"just, exactly",adverb,d--------,,
