ἆ	<FE><HG><HL>ἆ</HL><PS>interj</PS></HG> <vS1><Indic>exclam. of pity or contempt, w. <Gr>δειλέ</Gr>, <Gr>τάλας</Gr> <ital>poor wretch</ital>, or sim.</Indic><Tr>oh!</Tr><Au>Hom. Semon. Thgn. B. S.<Wk>Ichn.</Wk> Hellenist.poet.</Au> </vS1> <vS1><Indic>w. <Ref>μάκαρ</Ref> <ital>happy one</ital>, or sim.</Indic><Tr>ah!</Tr><Au>Hippon. Thgn. B.</Au> </vS1> <vS1><Indic>in a wish</Indic><Tr>oh!</Tr><Au>Call.</Au> </vS1> <vS1><Indic>exclam. of horror, anguish or astonishment, freq. repeated</Indic><Tr>ah!</Tr><Au>Trag.</Au> </vS1> <vS1><Indic>of admonition or protest, freq. repeated</Indic><Tr>hey!, no!, stop!</Tr><Au>Trag. Ar. Pl. Call.</Au> </vS1> <vS1><Indic>of admiration</Indic><Tr>ah!, wow!</Tr><Au>Ar.</Au> </vS1> <vS1><Indic>of excited anticipation, repeated twice</Indic><Tr>yes, yes, yes!</Tr><Au>E.<Wk>Cyc.</Wk></Au> </vS1> </FE>
ᾇ	<XE><HG><HL>ᾇ</HL><PS>dial.fem.relatv.adv</PS></HG><XR>see under<Ref>ὅς<Hm>1</Hm></Ref></XR> </XE>
ἀ̄	<XE><RefFm>ἀ̄<LblR>Aeol.fem.art. and relatv.pron.</LblR></RefFm><XR>see<Ref>ὁ</Ref> and <Ref>ὅς<Hm>1</Hm></Ref></XR> </XE>
ἁ̄	<XE><RefFm>ἁ̄<LblR>dial.fem.art.</LblR></RefFm><XR>see<Ref>ὁ</Ref></XR> </XE>
ἅ̄	<XE><RefFm>ἅ̄<LblR>dial.fem.relatv.pron.</LblR></RefFm><XR>see<Ref>ὅς<Hm>1</Hm></Ref></XR> </XE>
ἅ_1	<XE><RefFm>ἅ<Hm>1</Hm><LblR>neut.pl.relatv.pron.</LblR></RefFm> <XR>see<Ref>ὅς<Hm>1</Hm></Ref></XR> </XE>
ἅ_2	<XE><HG><HL>ἅ<Hm>2</Hm></HL><PS>neut.pl.relatv.adv</PS></HG><XR>see under<Ref>ὅς<Hm>1</Hm></Ref></XR> </XE>
ἀά̄ατος	<AE><HG><HL>ἀ<hyph/>ά̄ατος</HL><DL><Lbl>also</Lbl><FmHL>ἀά̄ᾱτος</FmHL></DL><Infl>ον</Infl><PS>ep.adj</PS><Ety>privatv.prfx., perh.<Ref>ἀάω</Ref></Ety></HG> <aS1><Qualif>app.</Qualif><Def>not able to be led into error</Def><aS2><Indic>of the waters of the Styx, by which a deity swears an oath</Indic><Tr>infallible</Tr><Au>Il.</Au><Extra>or perh. 2nd el.reltd. <Ref>ἥλιος</Ref>, i.e. <ital>sunless, gloomy</ital></Extra></aS2></aS1> <aS1><Indic>of a contest</Indic><Tr>infallible<Expl>as a test</Expl></Tr><Au>Od.</Au><Extra>or perh. <ital>formidable</ital></Extra></aS1> <aS1><Indic>of a boxer</Indic><Qualif>app.</Qualif><Tr>invincible<Expl><GLbl>w.acc.</GLbl>in strength</Expl></Tr><Au>AR.</Au></aS1></AE>
ἀᾱγής	<AE><HG><HL>ἀ-ᾱγής</HL><Infl>ές</Infl><PS>adj</PS><Ety><Ref>ἄγνῡμι</Ref></Ety><FG><Case><Lbl>ep.neut.acc.sg.</Lbl><Form>ἀ̄ᾱγές</Form><Au>AR.</Au></Case></FG></HG> <aS1><Indic>of a weapon</Indic><Tr>unbreakable, unbroken</Tr><Au>Od. AR.</Au><aS2><Indic>of chariots</Indic><Au>Theoc.</Au></aS2></aS1></AE>
ἄαπτος	<AE><HG><HL>ἄ<hyph/>απτος</HL><Infl>ον</Infl><PS>adj</PS><Ety><Ref>ἅπτω</Ref></Ety></HG> <aS1><Indic>of the hands of gods or mortals</Indic><Qualif>app.</Qualif><Def>untouchable</Def><Tr>irresistible, formidable</Tr><Au>Hom. Hes.</Au></aS1></AE>
