Title3,Following Perseus,Greek,English,Benjamin Jowett,Schleiermacher,Primary translation,Literal translation,Secondary translation
0059-003|1.|Cr.43a.1.,0059-003|1.|Cr.43a.1.,"Σωκράτης. τί τηνικάδε ἀφῖξαι, ὦ Κρίτων; ","Socrates. Why have you come at this time, Crito? ","Soc. Why have you come at this hour, Crito?","Sokrates: Wie bist du schon um diese Zeit gekommen, Kriton? ",سقراط: برای چه بدین زودی آمده‌ای، ای کریتون؟,سقراط: چرا در این وقت آمده‌ای، ای کریتون؟,سقراط: ای کریتون، چرا اکنون آمده‌ای؟
0059-003|2.|Cr.43a.2.,0059-003|1.|Cr.43a.1.,ἢ οὐ πρῲ ἔτι ἐστίν;,Or isn't it still early?,it must be quite early.,Oder ist es nicht noch früh?,یا اینکه اکنون خیلی زود نیست؟,یا دیگر زود نیست؟,یا هنوز زود نیست؟
0059-003|3.|Cr.43a.3.,0059-003|2.|Cr.43a.2.,Κρίτων. πάνυ μὲν οὖν.,"Crito. Yes, very early.","Cr. Yes, certainly.",Kriton: Noch gar sehr.,کریتون: آری همینطور است.,کریتون: البته که چنین است.,کریتون: یقینا زود است.
0059-003|4.|Cr.43a.4.,0059-003|3.|Cr.43a.3.,Σωκράτης. πηνίκα μάλιστα;,Socrates. About what time?,Soc. What is the exact time?,Sokrates: Welche Zeit wohl?, سقراط: حدودا چه هنگام [است]؟, سقراط: دقیقا چه زمانی؟, سقراط: دقیقا چه هنگامی [است]؟
0059-003|5.|Cr.43a.5.,0059-003|4.|Cr.43a.4.,Κρίτων. ὄρθρος βαθύς.,Crito. Just before dawn.,Cr. The dawn is breaking.,Kriton: Die erste Morgendämmerung.,کریتون: پیش از سپیده سحر.,کریتون: هنگام سپیده دم.,کریتون: اندکی تا طلوع.
0059-003|6.|Cr.43a.6.,0059-003|5.|Cr.43a.5.,Σωκράτης. θαυμάζω ὅπως ἠθέλησέ σοι ὁ τοῦ δεσμωτηρίου φύλαξ ὑπακοῦσαι.,Socrates. I am surprised that the watchman of the prison was willing to let you in.,Soc. I wonder the keeper of the prison would let you in.,"Sokrates: Da wundere ich mich, daß der Schließer des Gefängnisses dir aufmachen gewollt hat.",سقراط: تعجب می‌کنم چطور نگهبان زندان به تو اذن ورود داد., سقراط: در عجبم که نگهبان زندان چگونه راضی به گشودنِ در برای تو شد.,سقراط: در شگفتم نگهبان زندان چگونه به پذیرفتن تو مایل گشت.
0059-003|7.|Cr.43a.7.,0059-003|6.|Cr.43a.6.,"Κρίτων. συνήθης ἤδη μοί ἐστιν, ὦ Σώκρατες, διὰ τὸ πολλάκις δεῦρο φοιτᾶν, καί τι καὶ εὐεργέτηται ὑπ᾽ ἐμοῦ.","Crito. He is used to me by this time, Socrates, because I come here so often, and besides I have done something for him.","Cr. He knows me because I often come, Socrates; moreover. I have done him a kindness.","Kriton: Er ist schon gut bekannt mit mir, Sokrates, weil ich oft hieher komme. Auch hat er wohl eher etwas von mir erhalten.",کریتون: ای سقراط، از پیش با من آشنا است، چرا که اغلب به اینجا می آیم، به علاوه به او لطفی کرده‌ام.,کریتون: به خاطرِ رفت و آمد بسیار بدین جا دیگر با من آشنا است، ای سقراط، و نیز از قِبل من چیزی به سود برده است.,کریتون: به دلیل تردد مکرر به اینجا دیگر به من عادت کرده است، ای سقراط، وانگهی از من به او نفعی نیز رسیده است.
0059-003|8.|Cr.43a.8.,0059-003|7.|Cr.43a.7.,Σωκράτης. ἄρτι δὲ ἥκεις ἢ πάλαι;,"Socrates. Have you just come, or some time ago?",Soc. And are you only just come?,Sokrates: Bist du eben erst gekommen oder schon lange?, سقراط: هم اکنون آمدی یا خیلی وقت است؟, سقراط: اینک رسیده‌ای یا پیشتر؟, سقراط: همین حالا رسیده‌ای یا دیرگاهی [است]؟
0059-003|9.|Cr.43b.1.,0059-003|8.|Cr.43a.8.,Κρίτων. ἐπιεικῶς πάλαι.,Crito. Some little time ago.,"Cr. No, I came some time ago.",Kriton: Schon ziemlich lange.,کریتون: کمی پیشتر.,کریتون: قدری پیشتر.,کریتون: کمابیش دیرگاهی است.
0059-003|10.|Cr.43b.2.,0059-003|9.|Cr.43b.1.,"Σωκράτης. εἶτα πῶς οὐκ εὐθὺς ἐπήγειράς με, ἀλλὰ σιγῇ παρακάθησαι;","Socrates. Then why did you not wake me at once, instead of sitting by me in silence?","Soc. Then why did you sit and say nothing, instead of awakening me at once?","Sokrates: Warum also hast du mich nicht gleich geweckt, sondern dich so still hingesetzt?", سقراط: پس چرا فورا بیدارم نکردی و در عوض کنارم خاموش نشستی؟, سقراط: پس چرا بی‌درنگ مرا بیدار نکردی، بلکه خاموش در کنارم نشستی؟, سقراط: پس چطور فورا مرا بیدار نکردی، عوضِ آن‌که در سکوت کناری بنشینی؟
