greek_token,greek_ve_ref,persian_token,persian_ve_ref
μῆνιν,1.1.t1,غضب,1.1.t1
ἄειδε,1.1.t2,بسرای,1.1.t6
θεὰ,1.1.t3,ای الهه,"1.1.t7
1.1.t8"
Πηληϊάδεω,1.1.t4,پور پلئوس,"1.1.t3
1.1.t4"
Ἀχιλῆος,1.1.t5,آخیلئوس را,"1.1.t2
1.1.t5"
οὐλομένην,1.2.t1,[غضب] ویرانگری,"1.2.t1
1.2.t2"
",",,,
ἣ,1.2.t2,که,1.2.t3
μυρί',1.2.t3,بی‌شمار,1.2.t7
Ἀχαιοῖς,1.2.t4,آخاییان را,"1.2.t4
1.2.t5"
ἄλγε',1.2.t5,رنج‌های,1.2.t6
ἔθηκε,1.2.t6,آورد,1.2.t8
",",,,
πολλὰς,1.3.t1,بسیار,1.3.t2
δ',1.3.t2,و,1.3.t1
ἰφθίμους,1.3.t3,دلیر,1.3.t4
ψυχὰς,1.3.t4,روان‌های,1.3.t3
Ἄϊδι,1.3.t5,به هادس,"1.3.t7
1.3.t8"
προΐαψεν,1.3.t6,افکند,1.3.t9
ἡρώων,1.4.t1,پهلوانان را,"1.3.t5
1.3.t6"
",",,,
αὐτοὺς,1.4.t2,آنان را,"1.4.t2
1.4.t3"
δὲ,1.4.t3,و,1.4.t1
ἑλώρια,1.4.t4,خرده‌طعمه‌هایی,1.4.t4
τεῦχε,1.4.t5,می‌ساخت,1.4.t10
κύνεσσιν,1.4.t6,برای سگان,"1.4.t5
1.4.t7"
οἰωνοῖσί,1.5.t1,پرندگان,1.4.t9
τε,1.5.t2,و,1.4.t8
πᾶσι,1.5.t3,تمام,1.4.t6
",",,,
Διὸς,1.5.t4,زئوس,1.5.t3
δ',1.5.t5,و,1.5.t1
ἐτελείετο,1.5.t6,به فرجام می‌رسید,"1.5.t4
1.5.t5
1.5.t6"
βουλή,1.5.t7,اراده‌ی,1.5.t2
",",,,
ἐξ,1.6.t1,از,1.6.t1
οὗ,1.6.t2,آن هنگام که,"1.6.t2
1.6.t3
1.6.t4"
δὴ,1.6.t3,,
τὰ,1.6.t4,نخست,1.6.t5
πρῶτα,1.6.t5,نخست,1.6.t5
διαστήτην,1.6.t6,کناره گرفتند,"1.6.t16
1.6.t17"
ἐρίσαντε,1.6.t7,آن دو عنادورزان,"1.6.t6
1.6.t7
1.6.t15"
Ἀτρεΐδης,1.7.t1,پور آترئوس,"1.6.t8
1.6.t9"
τε,1.7.t2,,
ἄναξ,1.7.t3,شهریار,1.6.t10
ἀνδρῶν,1.7.t4,مردان,1.6.t11
καὶ,1.7.t5,و,1.6.t12
δῖος,1.7.t6,خدای‌گون,1.6.t14
Ἀχιλλεύς,1.7.t7,آخیلئوس,1.6.t13
