ἀάπτους,ἄαπτος,a-p---fa-,شکست‌ناپذیر,Ref=1.567
ἀγαθός,ἀγαθός,a-s---mn-,نیک، دلیر,Ref=1.275
Ἀγαμέμνονι,Ἀγαμέμνων,n-s---md-,آگاممنون ,Ref=1.24
ἀγάννιφον,ἀγάννιφος,a-s---ma-,برف‌گرفته,Ref=1.420
ἄγγελοι,ἄγγελος,n-p---mv-,فرستاده,Ref=1.334
ἄγε,ἄγε,d--------,بیا، بیایید,Ref=1.62
ἤγερθεν,ἀγείρω,v3paip---,گرد آوردن,Ref=1.57
ἀγέραστος,ἀγέραστος,a-s---mn-,بدون پیشکشی,Ref=1.119
ἀγλαὰ,ἀγλαός,a-p---na-,درخشان,Ref=1.23
ἠγνοίησεν,ἀγνοέω,v3saia---,بی‌خبر بودن,Ref=1.537
ἀγορὴν,ἀγορά,n-s---fa-,مجمع، انجمن,Ref=1.54
ἀγορήσατο,ἀγοράομαι,v3saim---,سخن راندن، گفتن,Ref=1.73
ἀγορητής,ἀγορητής,n-s---mn-,سخن‌دان,Ref=1.248|SpaceAfter=No
ἄγειν,ἄγω,v--pna---,بردن، آوردن,Ref=1.99
ἀδάκρυτος,ἀδάκρυτος,a-s---mn-,بی اشک,Ref=1.415
αἰεὶ,ἀεί,d--------,همیشه,Ref=1.177
ἄειδε,ἀείδω,v2spma---,سرودن,Ref=1.1
ἀεικέα,ἀεικής,a-s---ma-,ننگین,Ref=1.97
ἀέκοντος,ἀέκων,a-s---mg-,ناگزیر,Ref=1.301
ἁζόμενοι,ἅζομαι,v-pppemn-,حرمت گذاشتن,Ref=1.21
ἀθανάτοιο,ἀθάνατος,a-s---fg-,نامیرا,Ref=1.530|SpaceAfter=No
ἀθέριζον,ἀθερίζω,v3piia---,سبک کردن,Ref=1.261|SpaceAfter=No
Ἀθήνη,Ἀθήνη,n-s---fn-,آتنا,Ref=1.194
Αἴαντος,Αἴας,n-s---mg-,آیاس,Ref=1.138
Αἰγαίων',Αἰγαίων,n-s---ma-,آیگایون,Ref=1.404|SpaceAfter=No
Αἰγεΐδην,Αἰγείδην,n-s---ma-,پور آیگئوس,Ref=1.265|SpaceAfter=No
αἰγιόχοιο,αἰγίοχος,a-s---mg-,دارنده‌ی آیگیس,Ref=1.202
αἰγλήεντος,αἰγλήεις,a-s---mg-,تابناک,Ref=1.532
αἰδεῖσθαί,αἰδέομαι,v--pne---,گرامی داشتن، شرمگین شدن,Ref=1.23
Ἄϊδι,Ἅιδης,n-s---md-, هادس,Ref=1.3
Αἰθιοπῆας,Αἰθίοψ,n-p---ma-,اتیوپیایی,Ref=1.423
αἴθοπα,αἶθοψ,a-s---ma-,تابان,Ref=1.462
αἷμα,αἷμα,n-s---nn-,خون,Ref=1.303
αἰνὰ,αἰνός,a-p---na-,نحس، شوم,Ref=1.414
αἰγῶν,αἴξ,n-p---mg-,بز,Ref=1.41|SpaceAfter=No
ἕλωμαι,αἱρέω,v1sase---,گرفتن، به چنگ آوردن,Ref=1.137
αἶσα,αἶσα,n-s---fn-,قسمت,Ref=1.416
αἴσῃ,αἶσις,n-s---fd-,قسمت,Ref=1.418
αἴτιοί,αἴτιος,a-p---mn-,تقصیرکار,Ref=1.153
αἰχμητάων,αἰχμητής,n-p---mg-,نیزه‌انداز,Ref=1.152
αἶψά,αἶψα,d--------,بی‌درنگ، ناگاه,Ref=1.303
ἀκέων,ἀκέων,a-s---mn-,خاموش,Ref=1.34
ἤκουσεν,ἀκούω,v3saia---,شنیدن,Ref=1.381|SpaceAfter=No
ἀκροτάτῃ,ἄκρος,a-s---fds,بالا,Ref=1.499
ἄλγεα,ἄλγος,n-p---na-,رنج,Ref=1.110
ἀλεγίζεις,ἀλεγίζω,v2spia---,وقع نهادن,Ref=1.160|SpaceAfter=No
ἀλεξέμεναι,ἀλέξω,v--pna---,دفاع کردن,Ref=1.590
ἁλίοιο,ἅλιος,a-s---mg-,دریا,Ref=1.538
ἀλλ',ἀλλά,d--------,دگر، اما، باری,Ref=1.24
ἄλλῃ,ἄλλῃ,d--------,جای دیگر,Ref=1.120|SpaceAfter=No
ἆλτο,ἅλλομαι,v3saim---,پریدن,Ref=1.532
ἄλλοι,ἄλλος,a-p---mv-,دیگر، دیگری,Ref=1.17
ἄλλοτ',ἄλλοτε,d--------,بار دیگر، آن بار,Ref=1.590
ἀλόχου,ἄλοχος,n-s---fg-,همسر,Ref=1.114|SpaceAfter=No
ἅλα,ἅλς,n-s---fa-,دریا,Ref=1.141
ἅμ',ἅμα,d--------,با هم، همگی,Ref=1.158
ἀμβρόσιαι,ἀμβρόσιος,a-p---fn-,خدایگون‌,Ref=1.529
ἠμείβετ',ἀμείβω,v3siie---,پاسخ دادن,Ref=1.121
ἄμεινον,ἀμείνων,a-s---nnc,بهتر، برتر,Ref=1.116|SpaceAfter=No
ἀμύμων,ἀμύμων,a-s---mn-,پارسا,Ref=1.92|SpaceAfter=No
ἄμυνον,ἀμύνω,v2sama---, در امان داشتن,Ref=1.456|SpaceAfter=No
ἀμύξεις,ἀμύσσω,v2sfia---,دریدن,Ref=1.243
ἀμφηρεφέα,ἀμφηρεφής,a-s---fa-,دوسرپوشیده,Ref=1.45
ἀμφ',ἀμφί,r--------,از دو سو، گرداگرد ,Ref=1.409
ἀμφιβέβηκας,ἀμφιβαίνω,v2sria---,پناه دادن,Ref=1.37
ἀμφιγυήεις,ἀμφιγύεις,a-s---mn-,خمیده‌پا,Ref=1.607
ἀμφικύπελλον,ἀμφικύπελλος,a-s---na-,دودسته,Ref=1.584
ἀμφιμέλαιναι,ἀμφιμέλας,a-p---fn-,سراسر سیاه,Ref=1.103
ἄμφω,ἄμφω,a-d---ma-,هر دو ,Ref=1.196
κ',ἄν,g--------,ادات وجهی,Ref=1.580
ἀνὰ,ἀνά,r--------,بر، در,Ref=1.570
ἀναβάντες,ἀναβαίνω,v-papamn-,بالا رفتن,Ref=1.312
ἀνάγοντο,ἀνάγω,v3piie---,رفتن، رهسپار گشتن,Ref=1.478
ἀνέδυ,ἀναδύνω,v3saia---,برآمدن,Ref=1.359
ἀναθηλήσει,ἀναθηλέω,v3sfia---,جوانه زدن,Ref=1.236|SpaceAfter=No
