value,word_value,space_after,position,ve_ref,idx
Πρὸς,Πρὸς,,1,1.t1,0
τοὺς,τοὺς,,2,1.t2,1
ἐν,ἐν,,3,1.t3,2
λόγῳ,λόγῳ,,4,1.t4,3
κομψοὺς,κομψοὺς,,5,1.t5,4
ὁ,ὁ,,6,1.t6,5
λόγος,λόγος,false,7,1.t7,6
.,.,,8,1.t8,7
καὶ,καὶ,,1,2.t1,8
ἵνα,ἵνα,,2,2.t2,9
ἀπὸ,ἀπὸ,,3,2.t3,10
τῆς,τῆς,,4,2.t4,11
γραφῆς,γραφῆς,,5,2.t5,12
ἄρξωμαι,ἄρξωμαι,false,6,2.t6,13
·,·,,7,2.t7,14
Ἴδου,Ἴδου,,1,3.t1,15
ἐγὼ,ἐγὼ,,2,3.t2,16
ἐπὶ,ἐπὶ,,3,3.t3,17
σὲ,σὲ,,4,3.t4,18
τὴν,τὴν,,5,3.t5,19
ὑβρίστριαν,ὑβρίστριαν,false,6,3.t6,20
.,.,,7,3.t7,21
εἰσὶ,εἰσὶ,,1,4.t1,22
γάρ,γάρ,false,2,4.t2,23
",",",",,3,4.t3,24
εἰσί,εἰσί,,4,4.t4,25
τινες,τινες,false,5,4.t5,26
",",",",,6,4.t6,27
οἱ,οἱ,,7,4.t7,28
τὴν,τὴν,,8,4.t8,29
ἀκοὴν,ἀκοὴν,,9,4.t9,30
προσκνώμενοι,προσκνώμενοι,,10,4.t10,31
καὶ,καὶ,,11,4.t11,32
τὴν,τὴν,,12,4.t12,33
γλῶσσαν,γλῶσσαν,false,13,4.t13,34
",",",",,14,4.t14,35
ἤδη,ἤδη,,15,4.t15,36
δέ,δέ,false,16,4.t16,37
",",",",,17,4.t17,38
ὡς,ὡς,,18,4.t18,39
ὁρῶ,ὁρῶ,false,19,4.t19,40
",",",",,20,4.t20,41
καὶ,καὶ,,21,4.t21,42
τὴν,τὴν,,22,4.t22,43
χεῖρα,χεῖρα,false,23,4.t23,44
",",",",,24,4.t24,45
τοῖς,τοῖς,,25,4.t25,46
ἡμετέροις,ἡμετέροις,,26,4.t26,47
λόγοις,λόγοις,false,27,4.t27,48
",",",",,28,4.t28,49
καὶ,καὶ,,29,4.t29,50
χαίροντες,χαίροντες,,30,4.t30,51
ταῖς,ταῖς,,31,4.t31,52
βεβήλοις,βεβήλοις,,32,4.t32,53
κενοφωνίαις,κενοφωνίαις,false,33,4.t33,54
",",",",,34,4.t34,55
καὶ,καὶ,,35,4.t35,56
ἀντιθέσεσι,ἀντιθέσεσι,,36,4.t36,57
τῆς,τῆς,,37,4.t37,58
ψευδωνύμου,ψευδωνύμου,,38,4.t38,59
γνώσεως,γνώσεως,false,39,4.t39,60
",",",",,40,4.t40,61
καὶ,καὶ,,41,4.t41,62
ταῖς,ταῖς,,42,4.t42,63
εἰς,εἰς,,43,4.t43,64
οὐδὲν,οὐδὲν,,44,4.t44,65
χρήσιμον,χρήσιμον,,45,4.t45,66
φερούσαις,φερούσαις,,46,4.t46,67
λογομαχίαις,λογομαχίαις,false,47,4.t47,68
.,.,,48,4.t48,69
οὕτω,οὕτω,,1,5.t1,70
γὰρ,γὰρ,,2,5.t2,71
ὁ,ὁ,,3,5.t3,72
Παῦλος,Παῦλος,,4,5.t4,73
καλεῖ,καλεῖ,,5,5.t5,74
πᾶν,πᾶν,,6,5.t6,75
τὸ,τὸ,,7,5.t7,76
ἐν,ἐν,,8,5.t8,77
λόγῳ,λόγῳ,,9,5.t9,78
περιττὸν,περιττὸν,,10,5.t10,79
καὶ,καὶ,,11,5.t11,80
περίεργον,περίεργον,false,12,5.t12,81
",",",",,13,5.t13,82
ὁ,ὁ,,14,5.t14,83
τοῦ,τοῦ,,15,5.t15,84
συντετμημένου,συντετμημένου,,16,5.t16,85
λόγου,λόγου,,17,5.t17,86
κῆρυξ,κῆρυξ,,18,5.t18,87
καὶ,καὶ,,19,5.t19,88
βεβαιωτής,βεβαιωτής,false,20,5.t20,89
",",",",,21,5.t21,90
ὁ,ὁ,,22,5.t22,91
τῶν,τῶν,,23,5.t23,92
ἁλιέων,ἁλιέων,,24,5.t24,93
μαθητὴς,μαθητὴς,,25,5.t25,94
καὶ,καὶ,,26,5.t26,95
διδάσκαλος,διδάσκαλος,false,27,5.t27,96
.,.,,28,5.t28,97
οὗτοι,οὗτοι,,1,6.t1,98
δέ,δέ,false,2,6.t2,99
",",",",,3,6.t3,100
περὶ,περὶ,,4,6.t4,101
ὧν,ὧν,,5,6.t5,102
ὁ,ὁ,,6,6.t6,103
λόγος,λόγος,false,7,6.t7,104
",",",",,8,6.t8,105
εἴθε,εἴθε,,9,6.t9,106
μέν,μέν,false,10,6.t10,107
",",",",,11,6.t11,108
ὥσπερ,ὥσπερ,,12,6.t12,109
τὴν,τὴν,,13,6.t13,110
γλῶσσαν,γλῶσσαν,,14,6.t14,111
εὔστροφον,εὔστροφον,,15,6.t15,112
ἔχουσι,ἔχουσι,,16,6.t16,113
καὶ,καὶ,,17,6.t17,114
δεινὴν,δεινὴν,,18,6.t18,115
ἐπιθέσθαι,ἐπιθέσθαι,,19,6.t19,116
λόγοις,λόγοις,,20,6.t20,117
εὐγενεστέροις,εὐγενεστέροις,,21,6.t21,118
τε,τε,,22,6.t22,119
καὶ,καὶ,,23,6.t23,120
δοκιμωτέροις,δοκιμωτέροις,false,24,6.t24,121
",",",",,25,6.t25,122
οὕτω,οὕτω,,26,6.t26,123
τι,τι,,27,6.t27,124
καὶ,καὶ,,28,6.t28,125
περὶ,περὶ,,29,6.t29,126
τὰς,τὰς,,30,6.t30,127
πράξεις,πράξεις,,31,6.t31,128
ἠσχολοῦντο,ἠσχολοῦντο,,32,6.t32,129
μικρὸν,μικρὸν,,33,6.t33,130
γοῦν,γοῦν,false,34,6.t34,131
",",",",,35,6.t35,132
καὶ,καὶ,,36,6.t36,133
ἴσως,ἴσως,,37,6.t37,134
ἧττον,ἧττον,,38,6.t38,135
ἂν,ἂν,,39,6.t39,136
ἦσαν,ἦσαν,,40,6.t40,137
σοφισταὶ,σοφισταὶ,,41,6.t41,138
καὶ,καὶ,,42,6.t42,139
κυβισταὶ,κυβισταὶ,,43,6.t43,140
λόγων,λόγων,,44,6.t44,141
ἄτοποι,ἄτοποι,,45,6.t45,142
καὶ,καὶ,,46,6.t46,143
παράδοξοι,παράδοξοι,false,47,6.t47,144
",",",",,48,6.t48,145
ἵν,ἵν,,49,6.t49,146
εἴπω,εἴπω,,50,6.t50,147
τι,τι,,51,6.t51,148
καὶ,καὶ,,52,6.t52,149
γελοίως,γελοίως,,53,6.t53,150
περὶ,περὶ,,54,6.t54,151
γελοίου,γελοίου,,55,6.t55,152
πράγματος,πράγματος,false,56,6.t56,153
.,.,,57,6.t57,154
Ἐπεὶ,Ἐπεὶ,,1,7.t1,155
δὲ,δὲ,,2,7.t2,156
πᾶσαν,πᾶσαν,,3,7.t3,157
εὐσεβείας,εὐσεβείας,,4,7.t4,158
ὁδὸν,ὁδὸν,,5,7.t5,159
καταλύσαντες,καταλύσαντες,,6,7.t6,160
πρὸς,πρὸς,,7,7.t7,161
ἓν,ἓν,,8,7.t8,162
τοῦτο,τοῦτο,,9,7.t9,163
βλέπουσι,βλέπουσι,,10,7.t10,164
μόνον,μόνον,false,11,7.t11,165
",",",",,12,7.t12,166
ὅ,ὅ,,13,7.t13,167
τι,τι,,14,7.t14,168
δήσουσιν,δήσουσιν,,15,7.t15,169
ἢ,ἢ,,16,7.t16,170
λύσουσι,λύσουσι,,17,7.t17,171
τῶν,τῶν,,18,7.t18,172
προβαλλομένων,προβαλλομένων,false,19,7.t19,173
",",",",,20,7.t20,174
—,—,,1,8.t1,175
καθάπερ,καθάπερ,,2,8.t2,176
ἐν,ἐν,,3,8.t3,177
τοῖς,τοῖς,,4,8.t4,178
θεάτροις,θεάτροις,,5,8.t5,179
οἱ,οἱ,,6,8.t6,180
τὰ,τὰ,,7,8.t7,181
παλαίσματα,παλαίσματα,,8,8.t8,182
δημοσιεύοντες,δημοσιεύοντες,false,9,8.t9,183
",",",",,10,8.t10,184
καὶ,καὶ,,11,8.t11,185
τῶν,τῶν,,12,8.t12,186
παλαισμάτων,παλαισμάτων,,13,8.t13,187
οὐχ,οὐχ,,14,8.t14,188
ὅσα,ὅσα,,15,8.t15,189
πρὸς,πρὸς,,16,8.t16,190
νίκην,νίκην,,17,8.t17,191
φέρει,φέρει,,18,8.t18,192
κατὰ,κατὰ,,19,8.t19,193
νόμους,νόμους,,20,8.t20,194
ἀθλήσεως,ἀθλήσεως,false,21,8.t21,195
",",",",,22,8.t22,196
ἀλλ’,ἀλλ’,,23,8.t23,197
ὅσα,ὅσα,,24,8.t24,198
τὴν,τὴν,,25,8.t25,199
ὄψιν,ὄψιν,,26,8.t26,200
κλέπτει,κλέπτει,,27,8.t27,201
τῶν,τῶν,,28,8.t28,202
ἀμαθῶν,ἀμαθῶν,,29,8.t29,203
τὰ,τὰ,,30,8.t30,204
τοιαῦτα,τοιαῦτα,,31,8.t31,205
καὶ,καὶ,,32,8.t32,206
συναρπάζει,συναρπάζει,,33,8.t33,207
τὸν,τὸν,,34,8.t34,208
ἐπαινέτην,ἐπαινέτην,false,35,8.t35,209
",",",",false,36,8.t36,210
—,—,,37,8.t37,211
καὶ,καὶ,,1,9.t1,212
δεῖ,δεῖ,,2,9.t2,213
πᾶσαν,πᾶσαν,,3,9.t3,214
μὲν,μὲν,,4,9.t4,215
ἀγορὰν,ἀγορὰν,,5,9.t5,216
περιβομβεῖσθαι,περιβομβεῖσθαι,,6,9.t6,217
τοῖς,τοῖς,,7,9.t7,218
τούτων,τούτων,,8,9.t8,219
λόγοις,λόγοις,,9,9.t9,220
",",",",,10,9.t10,221
πᾶν,πᾶν,,11,9.t11,222
δὲ,δὲ,,12,9.t12,223
συμπόσιον,συμπόσιον,,13,9.t13,224
ἀποκναίεσθαι,ἀποκναίεσθαι,,14,9.t14,225
φλυαρίᾳ,φλυαρίᾳ,,15,9.t15,226
καὶ,καὶ,,16,9.t16,227
ἀηδίᾳ,ἀηδίᾳ,,17,9.t17,228
",",",",,18,9.t18,229
πᾶσαν,πᾶσαν,,19,9.t19,230
δὲ,δὲ,,20,9.t20,231
ἑορτὴν,ἑορτὴν,,21,9.t21,232
καὶ,καὶ,,22,9.t22,233
πένθος,πένθος,,23,9.t23,234
ἅπαν,ἅπαν,,24,9.t24,235
",",",",,25,9.t25,236
τὴν,τὴν,,26,9.t26,237
μὲν,μὲν,,27,9.t27,238
ἀνέορτον,ἀνέορτον,,28,9.t28,239
εἶναι,εἶναι,,29,9.t29,240
καὶ,καὶ,,30,9.t30,241
μεστὴν,μεστὴν,,31,9.t31,242
κατηφείας,κατηφείας,,32,9.t32,243
",",",",,33,9.t33,244
τὸ,τὸ,,34,9.t34,245
δὲ,δὲ,,35,9.t35,246
παραμυθεῖσθαι,παραμυθεῖσθαι,,36,9.t36,247
συμφορᾷ,συμφορᾷ,,37,9.t37,248
μείζονι,μείζονι,,38,9.t38,249
τοῖς,τοῖς,,39,9.t39,250
ζητήμασι,ζητήμασι,,40,9.t40,251
",",",",,41,9.t41,252
πᾶσαν,πᾶσαν,,42,9.t42,253
δὲ,δὲ,,43,9.t43,254
διοχλεῖσθαι,διοχλεῖσθαι,,44,9.t44,255
γυναικωνῖτιν,γυναικωνῖτιν,,45,9.t45,256
",",",",,46,9.t46,257
ἁπλότητι,ἁπλότητι,,47,9.t47,258
σύντροφον,σύντροφον,,48,9.t48,259
",",",",,49,9.t49,260
καὶ,καὶ,,50,9.t50,261
τὸ,τὸ,,51,9.t51,262
τῆς,τῆς,,52,9.t52,263
αἰδοῦς,αἰδοῦς,,53,9.t53,264
ἄνθος,ἄνθος,,54,9.t54,265
ἀποσυλᾶσθαι,ἀποσυλᾶσθαι,,55,9.t55,266
τῇ,τῇ,,56,9.t56,267
περὶ,περὶ,,57,9.t57,268
λόγον,λόγον,,58,9.t58,269
ταχύτητι,ταχύτητι,false,59,9.t59,270
·,·,,60,9.t60,271
ἐπειδὴ,ἐπειδὴ,,1,10.t1,272
ταῦτα,ταῦτα,,2,10.t2,273
οὕτω,οὕτω,false,3,10.t3,274
",",",",,4,10.t4,275
καὶ,καὶ,,5,10.t5,276
τὸ,τὸ,,6,10.t6,277
κακὸν,κακὸν,,7,10.t7,278
ἄσχετον,ἄσχετον,,8,10.t8,279
καὶ,καὶ,,9,10.t9,280
ἀφόρητον,ἀφόρητον,false,10,10.t10,281
",",",",,11,10.t11,282
καὶ,καὶ,,12,10.t12,283
κινδυνεύει,κινδυνεύει,,13,10.t13,284
τεχνύδροιν,τεχνύδροιν,,14,10.t14,285
εἶναι,εἶναι,,15,10.t15,286
τὸ,τὸ,,16,10.t16,287
μέγα,μέγα,,17,10.t17,288
ἡμῶν,ἡμῶν,,18,10.t18,289
μυστήριον,μυστήριον,false,19,10.t19,290
·,·,,20,10.t20,291
φέρε,φέρε,false,1,11.t1,292
",",",",,2,11.t2,293
τοσοῦτον,τοσοῦτον,,3,11.t3,294
γοῦν,γοῦν,,4,11.t4,295
ἡμῶν,ἡμῶν,,5,11.t5,296
ἀνασχέσθωσαν,ἀνασχέσθωσαν,,6,11.t6,297
οἱ,οἱ,,7,11.t7,298
