text_part_id,value,word_value,position,ve_ref,idx,subref_value
110,Omar,Omar,1,1.t1,0,Omar[1]
110,to,to,2,1.t2,1,to[1]
110,Sheikh,Sheikh,3,1.t3,2,Sheikh[1]
110,Hunter:,Hunter,4,1.t4,3,Hunter[1]
111,You,You,1,2.t1,4,You[1]
111,asked,asked,2,2.t2,5,asked[1]
111,me,me,3,2.t3,6,me[1]
111,to,to,4,2.t4,7,to[1]
111,write,write,5,2.t5,8,write[1]
111,my,my,6,2.t6,9,my[1]
111,"life,",life,7,2.t7,10,life[1]
111,but,but,8,2.t8,11,but[1]
111,I,I,9,2.t9,12,I[1]
111,am,am,10,2.t10,13,am[1]
111,not,not,11,2.t11,14,not[1]
111,able,able,12,2.t12,15,able[1]
111,to,to,13,2.t13,16,to[2]
111,write,write,14,2.t14,17,write[2]
111,my,my,15,2.t15,18,my[2]
111,"life,",life,16,2.t16,19,life[2]
111,for,for,17,2.t17,20,for[1]
111,I,I,18,2.t18,21,I[2]
111,have,have,19,2.t19,22,have[1]
111,forgotten,forgotten,20,2.t20,23,forgotten[1]
111,much,much,21,2.t21,24,much[1]
111,of,of,22,2.t22,25,of[1]
111,my,my,23,2.t23,26,my[3]
111,language,language,24,2.t24,27,language[1]
111,along,along,25,2.t25,28,along[1]
111,with,with,26,2.t26,29,with[1]
111,the,the,27,2.t27,30,the[1]
111,Arabic,Arabic,28,2.t28,31,Arabic[1]
111,language.,language,29,2.t29,32,language[2]
112,I,I,1,3.t1,33,I[1]
112,cannot,cannot,2,3.t2,34,cannot[1]
112,read,read,3,3.t3,35,read[1]
112,grammatically,grammatically,4,3.t4,36,grammatically[1]
112,except,except,5,3.t5,37,except[1]
112,"little,",little,6,3.t6,38,little[1]
112,or,or,7,3.t7,39,or[1]
112,linguistically,linguistically,8,3.t8,40,linguistically[1]
112,except,except,9,3.t9,41,except[2]
112,a,a,10,3.t10,42,a[7]
112,little.,little,11,3.t11,43,little[2]
113,O,O,1,4.t1,44,O[1]
113,my,my,2,4.t2,45,my[1]
113,"brother,",brother,3,4.t3,46,brother[1]
113,I,I,4,4.t4,47,I[1]
113,ask,ask,5,4.t5,48,ask[1]
113,you,you,6,4.t6,49,you[1]
113,by,by,7,4.t7,50,by[1]
113,God,God,8,4.t8,51,God[1]
113,not,not,9,4.t9,52,not[1]
113,to,to,10,4.t10,53,to[1]
113,blame,blame,11,4.t11,54,blame[1]
113,"me,",me,12,4.t12,55,me[2]
113,for,for,13,4.t13,56,for[1]
113,my,my,14,4.t14,57,my[2]
113,eyes,eyes,15,4.t15,58,eyes[1]
113,are,are,16,4.t16,59,are[1]
113,weak,weak,17,4.t17,60,weak[1]
113,and,and,18,4.t18,61,and[1]
113,my,my,19,4.t19,62,my[3]
113,body,body,20,4.t20,63,body[1]
113,is,is,21,4.t21,64,is[1]
113,likewise.,likewise,22,4.t22,65,likewise[1]
114,My,My,1,5.t1,66,My[1]
114,name,name,2,5.t2,67,name[1]
114,is,is,3,5.t3,68,is[1]
114,Omar,Omar,4,5.t4,69,Omar[1]
114,Ibn,Ibn,5,5.t5,70,Ibn[1]
114,Seid,Seid,6,5.t6,71,Seid[1]
114,of,of,7,5.t7,72,of[1]
114,the,the,8,5.t8,73,the[1]
114,birthplace,birthplace,9,5.t9,74,birthplace[1]
114,of,of,10,5.t10,75,of[2]
114,Foo(/uu)t,Foouut,11,5.t11,76,Foouut[1]
114,of,of,12,5.t12,77,of[3]
114,Turu,Turu,13,5.t13,78,Turu[1]
114,between,between,14,5.t14,79,between[1]
114,the,the,15,5.t15,80,the[2]
114,two,two,16,5.t16,81,two[1]
114,seas.,seas,17,5.t17,82,seas[1]
115,I,I,1,6.t1,83,I[1]
115,sought,sought,2,6.t2,84,sought[1]
115,education,education,3,6.t3,85,education[1]
115,"provisions,",provisions,4,6.t4,86,provisions[1]
115,under,under,5,6.t5,87,under[1]
115,a,a,6,6.t6,88,a[2]
115,sheik,sheik,7,6.t7,89,sheik[1]
115,named,named,8,6.t8,90,named[1]
115,Mohammed,Mohammed,9,6.t9,91,Mohammed[1]
115,Seed,Seed,10,6.t10,92,Seed[1]
115,and,and,11,6.t11,93,and[1]
115,my,my,12,6.t12,94,my[1]
115,brothers,brothers,13,6.t13,95,brothers[1]
115,Suleiman,Suleiman,14,6.t14,96,Suleiman[1]
115,Kembeh,Kembeh,15,6.t15,97,Kembeh[1]
115,and,and,16,6.t16,98,and[2]
115,Sheik,Sheik,17,6.t17,99,Sheik[1]
115,Jabril,Jabril,18,6.t18,100,Jabril[1]
115,Abdel.,Abdel,19,6.t19,101,Abdel[1]
116,I,I,1,7.t1,102,I[1]
116,remained,remained,2,7.t2,103,remained[1]
116,a,a,3,7.t3,104,a[2]
116,“student,student,4,7.t4,105,student[1]
116,of,of,5,7.t5,106,of[1]
116,learning”,learning,6,7.t6,107,learning[1]
116,for,for,7,7.t7,108,for[1]
116,25,25,8,7.t8,109,25[1]
116,years.,years,9,7.t9,110,years[1]
117,I,I,1,8.t1,111,I[1]
117,returned,returned,2,8.t2,112,returned[1]
117,to,to,3,8.t3,113,to[1]
117,my,my,4,8.t4,114,my[1]
117,place,place,5,8.t5,115,place[1]
117,for,for,6,8.t6,116,for[1]
117,six,six,7,8.t7,117,six[1]
117,years.,years,8,8.t8,118,years[1]
118,There,There,1,9.t1,119,There[1]
118,came,came,2,9.t2,120,came[1]
118,to,to,3,9.t3,121,to[1]
118,our,our,4,9.t4,122,our[1]
118,country,country,5,9.t5,123,country[1]
118,a,a,6,9.t6,124,a[2]
118,great,great,7,9.t7,125,great[1]
118,army.,army,8,9.t8,126,army[1]
119,It,It,1,10.t1,127,It[1]
119,killed,killed,2,10.t2,128,killed[1]
119,many,many,3,10.t3,129,many[1]
119,"people,",people,4,10.t4,130,people[1]
119,made,made,5,10.t5,131,made[1]
119,me,me,6,10.t6,132,me[1]
119,go,go,7,10.t7,133,go[1]
119,to,to,8,10.t8,134,to[1]
119,the,the,9,10.t9,135,the[1]
119,greatest,greatest,10,10.t10,136,greatest[1]
119,"sea,",sea,11,10.t11,137,sea[1]
119,sold,sold,12,10.t12,138,sold[1]
119,me,me,13,10.t13,139,me[2]
119,into,into,14,10.t14,140,into[1]
119,the,the,15,10.t15,141,the[2]
119,hand,hand,16,10.t16,142,hand[1]
119,of,of,17,10.t17,143,of[1]
119,the,the,18,10.t18,144,the[3]
119,Christian,Christian,19,10.t19,145,Christian[1]
119,who,who,20,10.t20,146,who[1]
119,bought,bought,21,10.t21,147,bought[1]
119,me,me,22,10.t22,148,me[3]
119,and,and,23,10.t23,149,and[2]
119,moved,moved,24,10.t24,150,moved[1]
119,me,me,25,10.t25,151,me[4]
119,to,to,26,10.t26,152,to[3]
119,a,a,27,10.t27,153,a[8]
119,large,large,28,10.t28,154,large[1]
119,ship,ship,29,10.t29,155,ship[1]
119,of,of,30,10.t30,156,of[2]
119,the,the,31,10.t31,157,the[4]
119,great,great,32,10.t32,158,great[2]
119,sea.,sea,33,10.t33,159,sea[2]
120,It,It,1,11.t1,160,It[1]
120,moved,moved,2,11.t2,161,moved[1]
120,on,on,3,11.t3,162,on[1]
120,the,the,4,11.t4,163,the[1]
120,great,great,5,11.t5,164,great[1]
120,sea,sea,6,11.t6,165,sea[1]
120,for,for,7,11.t7,166,for[1]
120,a,a,8,11.t8,167,a[3]
120,month,month,9,11.t9,168,month[1]
120,and,and,10,11.t10,169,and[1]
120,half,half,11,11.t11,170,half[1]
120,a,a,12,11.t12,171,a[6]
120,month,month,13,11.t13,172,month[2]
120,and,and,14,11.t14,173,and[2]
